Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2019-01-01,All Day,CHF,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,EUR,French Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,EUR,German Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,GBP,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,CAD,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,USD,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,NZD,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,All Day,JPY,Bank Holiday,Low,,,,2019-01-01 00:00:00
2019-01-01,8:45pm,CNY,RatingDog Manufacturing PMI,Non-economic,49.7,50.1,50.2,2019-01-01 20:45:00
2019-01-02,12:30am,AUD,Commodity Prices y/y,Non-economic,10.5%,,13.4%,2019-01-02 00:30:00
2019-01-02,All Day,CHF,Bank Holiday,Low,,,,2019-01-02 00:00:00
2019-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,51.1,52.4,52.6,2019-01-02 03:15:00
2019-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,49.2,48.5,48.6,2019-01-02 03:45:00
2019-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,49.7,49.7,49.7,2019-01-02 03:50:00
2019-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,51.5,51.5,51.5,2019-01-02 03:55:00
2019-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,51.4,51.4,51.4,2019-01-02 04:00:00
2019-01-02,4:30am,GBP,Final Manufacturing PMI,Medium,54.2,52.5,53.6,2019-01-02 04:30:00
2019-01-02,9:30am,CAD,Manufacturing PMI,Non-economic,53.6,,54.9,2019-01-02 09:30:00
2019-01-02,9:45am,USD,Final Manufacturing PMI,Non-economic,53.8,53.9,53.9,2019-01-02 09:45:00
2019-01-02,9:56am,NZD,GDT Price Index,Non-economic,2.8%,,1.7%,2019-01-02 09:56:00
2019-01-02,All Day,JPY,Bank Holiday,Low,,,,2019-01-02 00:00:00
2019-01-03,3:00am,EUR,Spanish Unemployment Change,Non-economic,-50.6K,-56.3K,-1.8K,2019-01-03 03:00:00
2019-01-03,3:30am,CHF,Manufacturing PMI,Non-economic,57.8,57.0,57.7,2019-01-03 03:30:00
2019-01-03,4:00am,EUR,M3 Money Supply y/y,Non-economic,3.7%,3.8%,3.9%,2019-01-03 04:00:00
