Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2016-01-01,All Day,NZD,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,AUD,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,CNY,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,JPY,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,9:00am,CNY,Manufacturing PMI,High,49.7,49.9,49.6,2016-01-01 09:00:00
2016-01-01,9:00am,CNY,Non-Manufacturing PMI,Medium,54.4,,53.6,2016-01-01 09:00:00
2016-01-01,All Day,CHF,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,EUR,French Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,EUR,German Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,GBP,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,CAD,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-01,All Day,USD,Bank Holiday,Low,,,,2016-01-01 00:00:00
2016-01-04,2:15am,USD,FOMC Member Fischer Speaks,Medium,,,,2016-01-04 02:15:00
2016-01-04,All Day,NZD,Bank Holiday,Low,,,,2016-01-04 00:00:00
2016-01-04,6:30am,AUD,AIG Manufacturing Index,Non-economic,51.9,,52.5,2016-01-04 06:30:00
2016-01-04,6:30am,USD,FOMC Member Mester Speaks,Medium,,,,2016-01-04 06:30:00
2016-01-04,9:35am,JPY,Final Manufacturing PMI,Non-economic,52.6,52.5,52.5,2016-01-04 09:35:00
2016-01-04,9:45am,CNY,Caixin Manufacturing PMI,High,48.2,48.9,48.6,2016-01-04 09:45:00
2016-01-04,1:30pm,AUD,Commodity Prices y/y,Non-economic,-23.3%,,-21.8%,2016-01-04 13:30:00
2016-01-04,All Day,EUR,German Prelim CPI m/m,Medium,-0.1%,0.2%,0.1%,2016-01-04 00:00:00
2016-01-04,4:15pm,EUR,Spanish Manufacturing PMI,Medium,53.0,53.1,53.1,2016-01-04 16:15:00
2016-01-04,4:30pm,CHF,Manufacturing PMI,Non-economic,52.1,50.2,49.7,2016-01-04 16:30:00
2016-01-04,4:45pm,EUR,Italian Manufacturing PMI,Non-economic,55.6,54.9,54.9,2016-01-04 16:45:00
2016-01-04,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,51.4,51.6,51.6,2016-01-04 16:50:00
2016-01-04,4:55pm,EUR,German Final Manufacturing PMI,Non-economic,53.2,53.0,53.0,2016-01-04 16:55:00
2016-01-04,5:00pm,EUR,Final Manufacturing PMI,Non-economic,53.2,53.1,53.1,2016-01-04 17:00:00
2016-01-04,5:30pm,GBP,Final Manufacturing PMI,High,51.9,52.8,52.5,2016-01-04 17:30:00
2016-01-04,5:30pm,GBP,Net Lending to Individuals m/m,Medium,5.3B,4.9B,4.8B,2016-01-04 17:30:00
2016-01-04,5:30pm,GBP,M4 Money Supply m/m,Non-economic,0.4%,0.5%,0.6%,2016-01-04 17:30:00
2016-01-04,5:30pm,GBP,Mortgage Approvals,Non-economic,70K,70K,70K,2016-01-04 17:30:00
2016-01-04,10:30pm,CAD,Manufacturing PMI,Non-economic,47.5,,48.6,2016-01-04 22:30:00
2016-01-04,10:45pm,USD,Final Manufacturing PMI,Non-economic,51.2,51.1,51.3,2016-01-04 22:45:00
2016-01-04,11:00pm,USD,ISM Manufacturing PMI,High,48.2,49.1,48.6,2016-01-04 23:00:00
2016-01-04,11:00pm,USD,Construction Spending m/m,Non-economic,-0.4%,0.7%,0.3%,2016-01-04 23:00:00
2016-01-04,11:00pm,USD,ISM Manufacturing Prices,Non-economic,33.5,36.5,35.5,2016-01-04 23:00:00
2016-01-05,7:50am,JPY,Monetary Base y/y,Non-economic,29.5%,33.2%,32.5%,2016-01-05 07:50:00
2016-01-05,11:45am,JPY,10-y Bond Auction,Non-economic,0.25|3.3,,0.32|3.6,2016-01-05 11:45:00
2016-01-05,4:00pm,EUR,Spanish Unemployment Change,Medium,-55.8K,-52.6K,-27.1K,2016-01-05 16:00:00
2016-01-05,4:55pm,EUR,German Unemployment Change,Medium,-14K,-7K,-14K,2016-01-05 16:55:00
