Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2012-01-01,9:00am,CNY,Manufacturing PMI,High,50.3,49.3,49.0
2012-01-02,All Day,NZD,Bank Holiday,Low,,,
2012-01-02,All Day,AUD,Bank Holiday,Low,,,
2012-01-02,All Day,CNY,Bank Holiday,Low,,,
2012-01-02,All Day,JPY,Bank Holiday,Low,,,
2012-01-02,All Day,CHF,Bank Holiday,Low,,,
2012-01-02,All Day,EUR,French Bank Holiday,Low,,,
2012-01-02,All Day,EUR,Italian Bank Holiday,Low,,,
2012-01-02,All Day,GBP,Bank Holiday,Low,,,
2012-01-02,4:45pm,EUR,Italian Manufacturing PMI,Medium,44.3,43.8,44.0
2012-01-02,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,48.9,48.7,48.7
2012-01-02,4:55pm,EUR,German Final Manufacturing PMI,Non-economic,48.4,48.1,48.1
2012-01-02,5:00pm,EUR,Final Manufacturing PMI,Non-economic,46.9,46.9,46.9
2012-01-02,All Day,CAD,Bank Holiday,Low,,,
2012-01-02,All Day,USD,Bank Holiday,Low,,,
2012-01-03,All Day,NZD,Bank Holiday,Low,,,
2012-01-03,6:30am,AUD,AIG Manufacturing Index,Non-economic,50.2,,47.8
2012-01-03,All Day,CNY,Bank Holiday,Low,,,
2012-01-03,All Day,JPY,Bank Holiday,Low,,,
2012-01-03,9:00am,CNY,Non-Manufacturing PMI,Non-economic,56.0,,49.7
2012-01-03,1:30pm,AUD,Commodity Prices y/y,Medium,10.9%,,17.5%
2012-01-03,4:00pm,EUR,Spanish Unemployment Change,Medium,1.9K,,59.5K
2012-01-03,4:30pm,CHF,Manufacturing PMI,Medium,50.7,44.5,44.8
2012-01-03,4:55pm,EUR,German Unemployment Change,Medium,-22K,-9K,-23K
2012-01-03,5:30pm,GBP,Final Manufacturing PMI,High,49.6,47.4,47.7
2012-01-03,9:30pm,NZD,GDT Price Index,Non-economic,-1.2%,,-1.4%
2012-01-03,10:30pm,CAD,Manufacturing PMI,Non-economic,54.0,,53.3
2012-01-03,11:00pm,USD,ISM Manufacturing PMI,High,53.9,53.3,52.7
2012-01-03,11:00pm,USD,Construction Spending m/m,Non-economic,1.2%,0.6%,-0.2%
2012-01-03,11:00pm,USD,ISM Manufacturing Prices,Non-economic,47.5,47.6,45.0
2012-01-04,3:00am,USD,FOMC Meeting Minutes,High,,,
2012-01-04,3:45pm,EUR,French Consumer Spending m/m,Medium,-0.1%,0.3%,0.1%
2012-01-04,4:15pm,EUR,Spanish Manufacturing PMI,Medium,43.7,,43.8
2012-01-04,4:15pm,EUR,Spanish Services PMI,Non-economic,42.1,,36.8
2012-01-04,4:45pm,EUR,Italian Services PMI,Non-economic,44.5,45.3,45.8
2012-01-04,4:50pm,EUR,French Final Services PMI,Non-economic,50.3,50.2,50.2
2012-01-04,4:55pm,EUR,German Final Services PMI,Non-economic,52.4,52.7,52.7
2012-01-04,5:00pm,EUR,Final Services PMI,Non-economic,48.8,48.3,48.3
2012-01-04,5:30pm,GBP,Construction PMI,High,53.2,51.8,52.3
2012-01-04,5:30pm,GBP,Net Lending to Individuals m/m,Medium,1.0B,1.0B,1.3B
2012-01-04,5:30pm,GBP,M4 Money Supply m/m,Non-economic,-0.6%,0.1%,-0.3%
2012-01-04,5:30pm,GBP,Mortgage Approvals,Non-economic,53K,53K,53K
2012-01-04,6:00pm,EUR,CPI Flash Estimate y/y,Medium,2.8%,2.8%,3.0%
2012-01-04,6:00pm,EUR,Italian Prelim CPI m/m,Non-economic,0.4%,0.3%,-0.1%
2012-01-04,6:43pm,EUR,German 10-y Bond Auction,Medium,1.93|1.3,,1.98|1.1
2012-01-04,11:00pm,USD,Factory Orders m/m,Medium,1.8%,1.9%,-0.2%
2012-01-05,All Day,USD,Total Vehicle Sales,Non-economic,13.6M,13.5M,13.6M
2012-01-05,6:30am,AUD,AIG Services Index,Medium,49.0,,47.7
2012-01-05,7:50am,JPY,Monetary Base y/y,Non-economic,13.5%,20.3%,19.5%
2012-01-05,8:30am,AUD,Goods Trade Balance,High,1.38B,1.68B,1.42B
2012-01-05,10:30am,CNY,Caixin Services PMI,Non-economic,52.5,,52.5
2012-01-05,3:00pm,EUR,German Retail Sales m/m,Medium,-0.9%,0.2%,-0.2%
2012-01-05,5:00pm,EUR,Italian Monthly Unemployment Rate,Non-economic,8.6%,8.5%,8.5%
2012-01-05,5:00pm,EUR,Italian Quarterly Unemployment Rate,Non-economic,8.1%,8.1%,8.0%
2012-01-05,5:30pm,GBP,Final Services PMI,High,54.0,51.6,52.1
2012-01-05,5:30pm,GBP,BOE Credit Conditions Survey,Medium,,,
2012-01-05,6:00pm,EUR,Industrial New Orders m/m,Medium,1.8%,2.4%,-7.8%
2012-01-05,6:00pm,EUR,PPI m/m,Non-economic,0.2%,0.1%,0.1%
2012-01-05,6:04pm,EUR,French 10-y Bond Auction,Medium,3.29|1.6,,3.18|3.1
