Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2012-01-05,8:30pm,USD,Challenger Job Cuts y/y,Non-economic,30.6%,,-12.8%
2012-01-05,9:15pm,USD,ADP Non-Farm Employment Change,High,325K,176K,204K
2012-01-05,9:30pm,CAD,RMPI m/m,Medium,3.8%,0.1%,-1.0%
2012-01-05,9:30pm,CAD,IPPI m/m,Non-economic,0.2%,0.2%,-0.1%
2012-01-05,9:30pm,USD,Unemployment Claims,High,372K,375K,387K
2012-01-05,11:00pm,CHF,SNB Chairman Hildebrand Speaks,High,,,
2012-01-05,11:00pm,USD,ISM Services PMI,High,52.6,53.0,52.0
2012-01-05,11:02pm,CAD,Ivey PMI,High,63.5,57.5,59.9
2012-01-05,11:30pm,USD,Natural Gas Storage,Non-economic,-76B,-78B,-81B
2012-01-06,12:00am,USD,Crude Oil Inventories,Medium,2.2M,-1.4M,3.9M
2012-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2012-01-06,4:00pm,GBP,Halifax HPI m/m,High,-0.9%,-0.1%,-1.0%
2012-01-06,4:10pm,CHF,Foreign Currency Reserves,High,254B,,232B
2012-01-06,4:15pm,CHF,CPI m/m,High,-0.2%,0.0%,-0.2%
2012-01-06,6:00pm,EUR,Retail Sales m/m,Medium,-0.8%,-0.2%,0.1%
2012-01-06,6:00pm,EUR,Unemployment Rate,Medium,10.3%,10.3%,10.3%
2012-01-06,7:00pm,EUR,German Factory Orders m/m,Medium,-4.8%,-1.6%,5.0%
2012-01-06,8:00pm,CAD,Employment Change,High,17.5K,17.8K,-18.6K
2012-01-06,8:00pm,CAD,Unemployment Rate,High,7.5%,7.4%,7.4%
2012-01-06,9:30pm,USD,Non-Farm Employment Change,High,200K,152K,100K
2012-01-06,9:30pm,USD,Unemployment Rate,High,8.5%,8.7%,8.6%
2012-01-06,9:30pm,USD,Average Hourly Earnings m/m,Medium,0.2%,0.2%,0.0%
2012-01-06,10:00pm,USD,FOMC Member Dudley Speaks,Non-economic,,,
2012-01-07,1:40am,USD,FOMC Member Duke Speaks,Non-economic,,,
2012-01-07,2:00am,USD,FOMC Member Raskin Speaks,Non-economic,,,
2012-01-08,1:40am,USD,FOMC Member Raskin Speaks,Medium,,,
2012-01-08,6:00pm,CNY,New Loans,Medium,641B,575B,562B
2012-01-08,6:00pm,CNY,M2 Money Supply y/y,Non-economic,13.6%,12.9%,12.7%
2012-01-09,5:45am,NZD,Trade Balance,Medium,-308M,-290M,-228M
2012-01-09,6:22am,AUD,AIG Construction Index,Non-economic,41.0,,39.6
2012-01-09,7:42am,AUD,HIA New Home Sales m/m,Medium,6.8%,,5.5%
2012-01-09,All Day,JPY,Bank Holiday,Low,,,
2012-01-09,8:30am,AUD,Retail Sales m/m,High,0.0%,0.4%,0.2%
2012-01-09,2:45pm,CHF,Unemployment Rate,Non-economic,3.1%,3.1%,3.0%
2012-01-09,3:00pm,EUR,German Trade Balance,Non-economic,15.1B,12.3B,12.5B
2012-01-09,3:45pm,EUR,French Trade Balance,Non-economic,-4.4B,-5.8B,-5.6B
2012-01-09,4:15pm,CHF,Retail Sales y/y,High,1.8%,0.6%,0.1%
2012-01-09,5:30pm,EUR,Sentix Investor Confidence,Medium,-21.1,-23.8,-24.0
2012-01-09,7:00pm,EUR,German Industrial Production m/m,Medium,-0.6%,-0.5%,0.8%
2012-01-09,9:30pm,CAD,Building Permits m/m,High,-3.6%,-3.1%,11.6%
2012-01-09,11:30pm,CAD,BOC Business Outlook Survey,High,,,
2012-01-10,1:40am,USD,FOMC Member Lockhart Speaks,Medium,,,
2012-01-10,4:00am,USD,Consumer Credit m/m,Non-economic,20.4B,7.1B,6.0B
2012-01-10,5:45am,NZD,Building Consents m/m,High,-6.4%,,10.7%
2012-01-10,8:00am,GBP,BRC Retail Sales Monitor y/y,Medium,2.2%,,-1.6%
2012-01-10,8:01am,GBP,RICS House Price Balance,Medium,-16%,-18%,-17%
2012-01-10,8:30am,AUD,Building Approvals m/m,High,8.4%,6.6%,-10.0%
2012-01-10,11:00am,CNY,USD-Denominated Trade Balance,High,16.5B,8.3B,14.5B
2012-01-10,3:45pm,EUR,French Industrial Production m/m,Medium,1.1%,0.1%,0.1%
2012-01-10,8:30pm,USD,NFIB Small Business Index,Non-economic,93.8,93.9,92.0
2012-01-10,9:14pm,CAD,Housing Starts,Medium,200K,186K,186K
2012-01-10,11:00pm,USD,Final Wholesale Inventories m/m,Non-economic,0.1%,0.5%,1.2%
2012-01-10,11:00pm,USD,JOLTS Job Openings,Non-economic,3.16M,,3.22M
2012-01-10,11:00pm,USD,RCM/TIPP Economic Optimism,Non-economic,47.5,45.3,42.8
2012-01-10,11:30pm,USD,FOMC Member Williams Speaks,Medium,,,
2012-01-11,12:10am,USD,FOMC Member Pianalto Speaks,Medium,,,
2012-01-11,8:00am,GBP,BRC Shop Price Index y/y,Non-economic,1.7%,,2.0%
2012-01-11,1:00pm,JPY,Leading Indicators,Non-economic,92.9%,92.9%,92.0%
2012-01-11,5:30pm,GBP,Goods Trade Balance,Medium,-8.6B,-8.3B,-7.9B
2012-01-11,6:39pm,GBP,10-y Bond Auction,Medium,2.09|2.2,,2.21|1.8
2012-01-11,7:10pm,EUR,Final GDP q/q,Non-economic,0.1%,0.2%,0.2%
2012-01-11,10:00pm,USD,FOMC Member Lockhart Speaks,Medium,,,
2012-01-11,11:30pm,USD,Crude Oil Inventories,Medium,5.0M,0.9M,2.2M
2012-01-12,2:00am,USD,10-y Bond Auction,Medium,1.90|3.3,,2.02|3.5
2012-01-12,3:00am,USD,Beige Book,Medium,,,
2012-01-12,7:50am,JPY,Bank Lending y/y,Non-economic,0.4%,,0.2%
2012-01-12,7:50am,JPY,Current Account,Non-economic,0.48T,0.44T,0.52T
2012-01-12,8:00am,NZD,ANZ Commodity Prices m/m,Non-economic,-0.8%,,-1.1%
2012-01-12,9:30am,CNY,CPI y/y,High,4.1%,4.0%,4.2%
2012-01-12,9:30am,CNY,PPI y/y,Medium,1.7%,1.6%,2.7%
2012-01-12,11:45am,JPY,10-y Bond Auction,Non-economic,0.97|3.0,,1.09|2.5
2012-01-12,1:00pm,JPY,Economy Watchers Sentiment,Non-economic,47.0,46.3,45.0
2012-01-12,2:00pm,JPY,Prelim Machine Tool Orders y/y,Non-economic,17.4%,,15.8%
2012-01-12,2:30pm,EUR,French Final CPI m/m,Non-economic,0.4%,0.2%,0.3%
2012-01-12,3:00pm,EUR,German Final CPI m/m,Non-economic,0.7%,0.7%,0.7%
2012-01-12,3:45pm,EUR,French Gov Budget Balance,Non-economic,-97.2B,,-99.4B
2012-01-12,5:00pm,EUR,Italian Industrial Production m/m,Non-economic,0.3%,-0.2%,-0.9%
2012-01-12,5:30pm,GBP,Manufacturing Production m/m,High,-0.2%,0.0%,-0.9%
2012-01-12,5:30pm,GBP,Industrial Production m/m,Non-economic,-0.6%,0.1%,-1.0%
2012-01-12,6:00pm,EUR,Industrial Production m/m,Medium,-0.1%,-0.2%,-0.3%
2012-01-12,8:00pm,GBP,Asset Purchase Facility,High,275B,275B,275B
2012-01-12,8:00pm,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2012-01-12,8:45pm,EUR,Main Refinancing Rate,High,1.00%,1.00%,1.00%
2012-01-12,9:30pm,CAD,NHPI m/m,Medium,0.3%,0.2%,0.2%
2012-01-12,9:30pm,EUR,ECB Press Conference,High,,,
2012-01-12,9:30pm,USD,Core Retail Sales m/m,High,-0.2%,0.3%,0.3%
2012-01-12,9:30pm,USD,Retail Sales m/m,High,0.1%,0.3%,0.4%
2012-01-12,9:30pm,USD,Unemployment Claims,High,399K,373K,375K
2012-01-12,11:00pm,GBP,NIESR GDP Estimate,Medium,0.1%,,0.3%
2012-01-12,11:00pm,USD,Business Inventories m/m,Medium,0.3%,0.4%,0.8%
2012-01-12,11:30pm,USD,Natural Gas Storage,Non-economic,-95B,-87B,-76B
2012-01-13,2:00am,USD,30-y Bond Auction,Non-economic,2.99|2.6,,2.93|3.0
2012-01-13,2:57am,USD,Federal Budget Balance,Medium,-86.0B,-79.0B,-137.3B
2012-01-13,7:50am,JPY,M2 Money Stock y/y,Non-economic,3.1%,3.1%,3.0%
2012-01-13,5:30pm,GBP,PPI Input m/m,High,-0.6%,0.0%,0.3%
2012-01-13,5:30pm,GBP,PPI Output m/m,Non-economic,-0.2%,0.1%,0.2%
2012-01-13,6:00pm,EUR,Trade Balance,Non-economic,6.1B,0.7B,0.5B
2012-01-13,9:30pm,CAD,Trade Balance,High,1.1B,-0.5B,-0.5B
2012-01-13,9:30pm,USD,Trade Balance,High,-47.8B,-44.8B,-43.3B
2012-01-13,9:30pm,USD,Import Prices m/m,Medium,-0.1%,0.0%,0.8%
2012-01-13,10:55pm,USD,Prelim UoM Consumer Sentiment,High,74.0,71.2,69.9
2012-01-13,10:55pm,USD,Prelim UoM Inflation Expectations,Non-economic,3.2%,,3.1%
2012-01-14,12:10am,USD,FOMC Member Duke Speaks,Non-economic,,,
2012-01-16,5:45am,NZD,FPI m/m,Non-economic,0.2%,,0.2%
2012-01-16,7:30am,AUD,MI Inflation Gauge m/m,Non-economic,0.5%,,-0.1%
2012-01-16,7:50am,JPY,Core Machinery Orders m/m,Medium,14.8%,5.8%,-6.9%
2012-01-16,7:50am,JPY,PPI y/y,Non-economic,1.3%,1.3%,1.6%
2012-01-16,7:55am,GBP,Rightmove HPI m/m,Medium,-0.8%,,-2.7%
2012-01-16,8:30am,AUD,ANZ Job Advertisements m/m,High,-0.9%,,0.1%
2012-01-16,8:30am,AUD,Home Loans m/m,High,1.4%,1.0%,0.8%
2012-01-16,1:00pm,JPY,Consumer Confidence,Non-economic,38.9,38.9,38.1
2012-01-16,3:00pm,EUR,German WPI m/m,Non-economic,0.0%,0.3%,0.7%
2012-01-16,4:15pm,CHF,PPI m/m,Medium,0.3%,-0.3%,-0.8%
2012-01-16,All Day,USD,Bank Holiday,Low,,,
2012-01-16,9:30pm,CAD,New Motor Vehicle Sales m/m,Non-economic,-1.0%,0.2%,3.3%
2012-01-17,2:00am,EUR,ECB President Draghi Speaks,High,,,
2012-01-17,5:00am,NZD,NZIER Business Confidence,High,0,,25
2012-01-17,7:00am,USD,FOMC Member Duke Speaks,Non-economic,,,
2012-01-17,7:50am,JPY,Tertiary Industry Activity m/m,Medium,-0.8%,-0.3%,0.7%
2012-01-17,10:00am,CNY,GDP q/y,High,8.9%,8.7%,9.1%
2012-01-17,10:00am,CNY,Fixed Asset Investment ytd/y,Medium,23.8%,24.1%,24.5%
2012-01-17,10:00am,CNY,Industrial Production y/y,Medium,12.8%,12.3%,12.4%
2012-01-17,10:00am,CNY,NBS Press Conference,Medium,,,
2012-01-17,10:00am,CNY,Retail Sales y/y,Non-economic,18.1%,17.2%,17.3%
2012-01-17,11:45am,JPY,30-y Bond Auction,Non-economic,1.92|3.5,,1.96|3.0
2012-01-17,5:30pm,GBP,CPI y/y,High,4.2%,4.2%,4.8%
2012-01-17,5:30pm,GBP,RPI y/y,Medium,4.8%,4.7%,5.2%
2012-01-17,5:30pm,GBP,Core CPI y/y,Non-economic,3.0%,3.0%,3.2%
2012-01-17,5:30pm,GBP,ONS HPI y/y,Non-economic,-0.3%,-0.2%,-0.4%
2012-01-17,5:45pm,GBP,BOE Gov King Speaks,High,,,
2012-01-17,6:00pm,EUR,German ZEW Economic Sentiment,High,-21.6,-49.7,-53.8
2012-01-17,6:00pm,EUR,Final Core CPI y/y,Medium,1.6%,1.6%,1.6%
2012-01-17,6:00pm,EUR,Final CPI y/y,Medium,2.7%,2.8%,2.8%
2012-01-17,6:00pm,EUR,ZEW Economic Sentiment,Medium,-32.5,-48.7,-54.1
2012-01-17,6:00pm,GBP,CB Leading Index m/m,Non-economic,-0.6%,,-0.3%
2012-01-17,9:30pm,CAD,Foreign Securities Purchases,Medium,14.99B,6.97B,3.85B
2012-01-17,9:30pm,NZD,GDT Price Index,Non-economic,1.0%,,-1.2%
2012-01-17,9:30pm,USD,Empire State Manufacturing Index,Medium,13.5,10.8,9.5
2012-01-17,10:00pm,CAD,BOC Rate Statement,High,,,
2012-01-17,10:00pm,CAD,Overnight Rate,High,1.00%,1.00%,1.00%
2012-01-18,2:30am,GBP,MPC Member Posen Speaks,Medium,,,
2012-01-18,5:00am,NZD,REINZ HPI m/m,Medium,-0.1%,,1.1%
2012-01-18,7:30am,AUD,Westpac Consumer Sentiment,Medium,2.4%,,-8.3%
2012-01-18,8:30am,AUD,New Motor Vehicle Sales m/m,Medium,-2.9%,,-0.6%
2012-01-18,9:50am,CNY,Foreign Direct Investment ytd/y,Non-economic,9.7%,,13.2%
2012-01-18,12:30pm,JPY,Revised Industrial Production m/m,Non-economic,-2.7%,-2.4%,-2.6%
2012-01-18,5:00pm,EUR,Italian Trade Balance,Non-economic,-1.58B,-0.94B,-1.06B
2012-01-18,5:30pm,GBP,Claimant Count Change,High,1.2K,9.1K,0.2K
2012-01-18,5:30pm,GBP,Unemployment Rate,Medium,8.4%,8.3%,8.3%
2012-01-18,5:30pm,GBP,Average Earnings Index 3m/y,Non-economic,1.9%,2.0%,2.1%
2012-01-18,6:00pm,CHF,UBS Economic Expectations,Medium,-50.1,,-72.0
2012-01-18,9:30pm,USD,PPI m/m,High,-0.1%,0.1%,0.3%
2012-01-18,9:30pm,USD,Core PPI m/m,Medium,0.3%,0.1%,0.1%
2012-01-18,9:56pm,USD,TIC Long-Term Purchases,High,59.8B,27.3B,8.3B
2012-01-18,10:15pm,USD,Capacity Utilization Rate,Medium,78.1%,78.2%,77.8%
2012-01-18,10:15pm,USD,Industrial Production m/m,Medium,0.4%,0.5%,-0.3%
2012-01-18,10:30pm,USD,FOMC Member Tarullo Speaks,Non-economic,,,
2012-01-18,11:00pm,USD,NAHB Housing Market Index,Non-economic,25,22,21
2012-01-18,11:30pm,CAD,BOC Monetary Policy Report,High,,,
2012-01-19,12:15am,CAD,BOC Press Conference,High,,,
2012-01-19,5:45am,NZD,CPI q/q,High,-0.3%,0.4%,0.4%
2012-01-19,8:00am,AUD,MI Inflation Expectations,Medium,2.8%,,2.4%
2012-01-19,8:01am,GBP,Nationwide Consumer Confidence,Medium,38,41,40
2012-01-19,8:30am,AUD,Employment Change,High,-29.3K,10.2K,-7.5K
2012-01-19,8:30am,AUD,Unemployment Rate,High,5.2%,5.3%,5.2%
2012-01-19,Nov Data,CNY,CB Leading Index m/m,Non-economic,0.5%,,0.4%
2012-01-19,10:00am,CNY,CB Leading Index m/m,Non-economic,0.7%,,0.5%
2012-01-19,5:00pm,EUR,Current Account,Medium,-1.8B,0.5B,-6.6B
2012-01-19,5:00pm,EUR,ECB Monthly Bulletin,Medium,,,
2012-01-19,6:00pm,EUR,Spanish 10-y Bond Auction,High,5.40|2.2,,5.55|2.2
2012-01-19,9:30pm,CAD,Manufacturing Sales m/m,Medium,2.0%,1.0%,-0.6%
2012-01-19,9:30pm,USD,Building Permits,High,0.68M,0.68M,0.68M
2012-01-19,9:30pm,USD,Core CPI m/m,High,0.1%,0.1%,0.2%
2012-01-19,9:30pm,USD,CPI y/y,High,3.0%,3.0%,3.4%
2012-01-19,9:30pm,USD,Unemployment Claims,High,352K,387K,402K
2012-01-19,9:30pm,USD,CPI m/m,Medium,0.0%,0.1%,0.0%
2012-01-19,9:30pm,USD,Housing Starts,Medium,0.66M,0.69M,0.69M
2012-01-19,11:00pm,USD,Philly Fed Manufacturing Index,High,7.3,10.7,10.3
2012-01-19,11:30pm,USD,Natural Gas Storage,Non-economic,-87B,-88B,-95B
2012-01-20,12:00am,USD,Crude Oil Inventories,Medium,-3.4M,2.9M,5.0M
2012-01-20,8:30am,AUD,Import Prices q/q,Medium,2.5%,0.9%,0.0%
2012-01-20,10:30am,CNY,Caixin Flash Manufacturing PMI,High,48.8,,48.7
2012-01-20,12:30pm,JPY,All Industries Activity m/m,Non-economic,-1.1%,-0.6%,0.8%
2012-01-20,3:00pm,EUR,German PPI m/m,Medium,-0.4%,0.1%,0.1%
2012-01-20,5:30pm,GBP,Retail Sales m/m,High,0.6%,0.6%,-0.5%
2012-01-20,8:00pm,CAD,Core CPI m/m,High,-0.5%,-0.2%,0.1%
2012-01-20,8:00pm,CAD,CPI m/m,Medium,-0.6%,-0.1%,0.1%
2012-01-20,9:30pm,CAD,Wholesale Sales m/m,Medium,-0.4%,0.8%,1.2%
2012-01-20,11:00pm,USD,Existing Home Sales,High,4.61M,4.65M,4.39M
2012-01-23,All Day,CNY,Bank Holiday,Low,,,
2012-01-23,8:30am,AUD,PPI q/q,High,0.3%,0.4%,0.6%
2012-01-23,7:00pm,EUR,German Buba Monthly Report,Non-economic,,,
2012-01-23,9:30pm,CAD,Leading Index m/m,Medium,0.8%,0.6%,0.9%
2012-01-23,11:00pm,EUR,Consumer Confidence,Non-economic,-21,-20,-21
2012-01-24,2:00am,GBP,MPC Member Posen Speaks,Medium,,,
2012-01-24,7:00am,AUD,CB Leading Index m/m,Medium,-0.3%,,0.5%
2012-01-24,All Day,CNY,Bank Holiday,Low,,,
2012-01-24,11:31am,JPY,Monetary Policy Statement,High,,,
2012-01-24,11:31am,JPY,Overnight Call Rate,High,<0.10%,<0.10%,<0.10%
2012-01-24,3:20pm,JPY,BOJ Press Conference,High,,,
2012-01-24,4:00pm,EUR,French Flash Manufacturing PMI,Medium,48.5,49.2,48.9
2012-01-24,4:00pm,EUR,French Flash Services PMI,Medium,51.7,50.5,50.3
2012-01-24,4:30pm,EUR,German Flash Manufacturing PMI,Medium,50.9,49.1,48.4
2012-01-24,4:30pm,EUR,German Flash Services PMI,Medium,54.5,52.6,52.4
2012-01-24,5:00pm,EUR,Flash Manufacturing PMI,Medium,48.7,47.4,46.9
2012-01-24,5:00pm,EUR,Flash Services PMI,Medium,50.5,49.1,48.8
2012-01-24,All Day,EUR,ECOFIN Meetings,Medium,,,
2012-01-24,All Day,EUR,Eurogroup Meetings,Medium,,,
2012-01-24,5:30pm,GBP,Public Sector Net Borrowing,High,10.8B,12.4B,15.1B
2012-01-24,6:00pm,EUR,Industrial New Orders m/m,Medium,-1.3%,-2.1%,1.5%
2012-01-24,9:30pm,CAD,Core Retail Sales m/m,High,0.3%,0.2%,0.6%
2012-01-24,9:30pm,CAD,Retail Sales m/m,Medium,0.3%,0.3%,0.9%
2012-01-24,10:00pm,EUR,Belgian NBB Business Climate,Medium,-9.5,-10.1,-10.6
2012-01-24,10:59pm,USD,Richmond Manufacturing Index,Non-economic,12,6,3
2012-01-25,12:15am,CHF,Gov Board Member Danthine Speaks,Medium,,,
2012-01-25,4:00am,GBP,BOE Gov King Speaks,High,,,
2012-01-25,7:30am,AUD,MI Leading Index m/m,Medium,-0.2%,,0.1%
2012-01-25,7:56am,JPY,Trade Balance,Medium,-0.57T,-0.36T,-0.53T
2012-01-25,All Day,CNY,Bank Holiday,Low,,,
2012-01-25,8:30am,AUD,CPI q/q,High,0.0%,0.2%,0.6%
2012-01-25,8:30am,AUD,Trimmed Mean CPI q/q,Medium,0.6%,0.5%,0.4%
2012-01-25,10:00am,NZD,BusinessNZ Manufacturing Index,Non-economic,51.9,,46.0
2012-01-25,10:00am,USD,President Obama Speaks,Non-economic,,,
2012-01-25,10:02am,NZD,Credit Card Spending y/y,Non-economic,5.9%,,3.0%
2012-01-25,1:00pm,JPY,BOJ Monthly Report,Medium,,,
2012-01-25,4:00pm,CAD,BOC Gov Carney Speaks,Medium,,,
2012-01-25,5:00pm,EUR,German ifo Business Climate,High,108.3,107.6,107.3
2012-01-25,5:00pm,EUR,Italian Retail Sales m/m,Non-economic,-0.3%,-0.1%,0.2%
2012-01-25,Day 1,All,WEF Annual Meetings,Medium,,,
2012-01-25,5:30pm,GBP,MPC Asset Purchase Facility Votes,High,0-0-9,0-0-9,0-0-9
2012-01-25,5:30pm,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2012-01-25,5:30pm,GBP,Prelim GDP q/q,High,-0.2%,-0.1%,0.6%
2012-01-25,5:30pm,GBP,High Street Lending,Medium,36.2K,35.3K,34.8K
2012-01-25,5:30pm,GBP,Index of Services 3m/3m,Non-economic,0.1%,0.0%,0.2%
2012-01-25,6:36pm,EUR,German 30-y Bond Auction,Non-economic,2.62|2.1,,2.82|1.1
2012-01-25,7:00pm,GBP,CBI Industrial Order Expectations,Medium,-16,-19,-23
2012-01-25,9:15pm,EUR,ECB President Draghi Speaks,Medium,,,
2012-01-25,11:00pm,USD,Pending Home Sales m/m,High,-3.5%,-0.6%,7.3%
2012-01-25,11:00pm,USD,HPI m/m,Non-economic,1.0%,0.3%,-0.7%
2012-01-25,11:30pm,USD,Crude Oil Inventories,Medium,3.6M,0.9M,-3.4M
2012-01-26,1:28am,USD,FOMC Statement,High,,,
2012-01-26,1:28am,USD,Federal Funds Rate,Medium,<0.25%,<0.25%,<0.25%
2012-01-26,3:00am,USD,FOMC Economic Projections,High,,,
2012-01-26,3:15am,USD,FOMC Press Conference,High,,,
2012-01-26,4:00am,NZD,Official Cash Rate,High,2.50%,2.50%,2.50%
2012-01-26,4:00am,NZD,RBNZ Rate Statement,High,,,
2012-01-26,All Day,AUD,Bank Holiday,Low,,,
2012-01-26,7:50am,JPY,SPPI y/y,Non-economic,0.1%,0.0%,-0.1%
2012-01-26,All Day,CNY,Bank Holiday,Low,,,
2012-01-26,3:00pm,EUR,German GfK Consumer Climate,Medium,5.9,5.6,5.7
2012-01-26,Day 2,All,WEF Annual Meetings,Medium,,,
2012-01-26,7:00pm,GBP,CBI Realized Sales,Medium,-22,-2,9
2012-01-26,9:30pm,USD,Core Durable Goods Orders m/m,High,2.1%,0.9%,0.5%
2012-01-26,9:30pm,USD,Unemployment Claims,High,377K,371K,356K
2012-01-26,9:30pm,USD,Durable Goods Orders m/m,Medium,3.0%,2.1%,4.3%
2012-01-26,11:00pm,USD,New Home Sales,High,307K,321K,314K
2012-01-26,11:00pm,USD,CB Leading Index m/m,Non-economic,0.4%,0.7%,0.2%
2012-01-26,11:30pm,USD,Natural Gas Storage,Non-economic,-192B,-91B,-87B
2012-01-27,5:45am,NZD,Trade Balance,Medium,338M,-74M,-307M
2012-01-27,7:30am,JPY,Tokyo Core CPI y/y,Medium,-0.4%,-0.3%,-0.3%
2012-01-27,7:30am,JPY,National Core CPI y/y,Non-economic,-0.1%,-0.1%,-0.2%
2012-01-27,7:50am,JPY,Monetary Policy Meeting Minutes,Medium,,,
2012-01-27,7:50am,JPY,Retail Sales y/y,Medium,2.5%,2.3%,-2.2%
2012-01-27,All Day,CNY,Bank Holiday,Low,,,
2012-01-27,3:00pm,EUR,German Import Prices m/m,Non-economic,0.3%,0.3%,0.4%
2012-01-27,4:00pm,CHF,KOF Economic Barometer,High,-0.17,-0.06,0.01
