Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2010-01-01,All Day,CHF,Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,EUR,French Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,EUR,German Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,GBP,Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,CAD,Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-01,All Day,USD,Bank Holiday,Low,,,,2010-01-01 00:00:00
2010-01-02,8:00pm,CNY,Non-Manufacturing PMI,Non-economic,57.5,,52.3,2010-01-02 20:00:00
2010-01-03,10:15am,USD,FOMC Member Kohn Speaks,Medium,,,,2010-01-03 10:15:00
2010-01-03,10:30am,USD,Fed Chairman Bernanke Speaks,High,,,,2010-01-03 10:30:00
2010-01-03,All Day,NZD,Bank Holiday,Low,,,,2010-01-03 00:00:00
2010-01-03,5:30pm,AUD,AIG Manufacturing Index,Non-economic,48.5,,51.2,2010-01-03 17:30:00
2010-01-03,9:30pm,CNY,RatingDog Manufacturing PMI,Medium,56.1,,55.7,2010-01-03 21:30:00
2010-01-04,12:30am,AUD,Commodity Prices y/y,Medium,-16.6%,,-24.4%,2010-01-04 00:30:00
2010-01-04,3:15am,EUR,Spanish Manufacturing PMI,Medium,45.2,,45.3,2010-01-04 03:15:00
2010-01-04,3:30am,CHF,Manufacturing PMI,Medium,54.6,57.1,56.9,2010-01-04 03:30:00
2010-01-04,3:45am,EUR,Italian Manufacturing PMI,Non-economic,50.8,50.5,50.1,2010-01-04 03:45:00
2010-01-04,3:50am,EUR,French Final Manufacturing PMI,Non-economic,54.7,54.4,54.4,2010-01-04 03:50:00
2010-01-04,3:55am,EUR,German Final Manufacturing PMI,Non-economic,52.7,53.1,53.1,2010-01-04 03:55:00
2010-01-04,4:00am,EUR,Final Manufacturing PMI,Non-economic,51.6,51.6,51.6,2010-01-04 04:00:00
2010-01-04,4:30am,EUR,Sentix Investor Confidence,Non-economic,-3.7,-3.4,-5.5,2010-01-04 04:30:00
2010-01-04,4:30am,GBP,Final Manufacturing PMI,High,54.1,52.1,51.8,2010-01-04 04:30:00
2010-01-04,4:30am,GBP,Net Lending to Individuals m/m,Medium,1.1B,0.6B,0.5B,2010-01-04 04:30:00
2010-01-04,4:30am,GBP,Mortgage Approvals,Non-economic,61K,58K,58K,2010-01-04 04:30:00
2010-01-04,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,0.2%,0.1%,0.1%,2010-01-04 05:00:00
2010-01-04,10:00am,USD,ISM Manufacturing PMI,High,55.9,54.1,53.6,2010-01-04 10:00:00
2010-01-04,10:00am,USD,Construction Spending m/m,Non-economic,-0.6%,-0.4%,-0.5%,2010-01-04 10:00:00
2010-01-04,10:00am,USD,ISM Manufacturing Prices,Non-economic,61.5,57.7,55.0,2010-01-04 10:00:00
2010-01-04,1:00pm,USD,FOMC Member Duke Speaks,Non-economic,,,,2010-01-04 13:00:00
2010-01-04,6:50pm,JPY,Monetary Base y/y,Non-economic,5.2%,3.5%,3.8%,2010-01-04 18:50:00
2010-01-04,7:01pm,AUD,HIA New Home Sales m/m,Medium,0.3%,,-6.0%,2010-01-04 19:01:00
2010-01-05,3:00am,EUR,Spanish Unemployment Change,Medium,54.7K,,60.6K,2010-01-05 03:00:00
2010-01-05,3:55am,EUR,German Unemployment Change,Medium,-3K,6K,-1K,2010-01-05 03:55:00
2010-01-05,4:30am,GBP,Construction PMI,Medium,47.1,47.6,47.0,2010-01-05 04:30:00
2010-01-05,5:00am,EUR,CPI Flash Estimate y/y,Medium,0.9%,0.9%,0.5%,2010-01-05 05:00:00
2010-01-05,8:00am,USD,FOMC Member Hoenig Speaks,Medium,,,,2010-01-05 08:00:00
2010-01-05,8:30am,CAD,RMPI m/m,Medium,2.2%,1.2%,2.5%,2010-01-05 08:30:00
2010-01-05,8:30am,CAD,IPPI m/m,Non-economic,1.0%,0.5%,-0.3%,2010-01-05 08:30:00
2010-01-05,8:30am,NZD,GDT Price Index,Non-economic,-5.4%,,1.7%,2010-01-05 08:30:00
2010-01-05,10:00am,USD,Pending Home Sales m/m,High,-16.0%,-2.3%,3.9%,2010-01-05 10:00:00
2010-01-05,10:00am,USD,Factory Orders m/m,Medium,1.1%,0.5%,0.8%,2010-01-05 10:00:00
2010-01-05,All Day,USD,Total Vehicle Sales,Non-economic,11.3M,11.0M,10.9M,2010-01-05 00:00:00
2010-01-05,5:30pm,AUD,AIG Services Index,Medium,50.0,,52.5,2010-01-05 17:30:00
2010-01-05,7:01pm,GBP,Nationwide Consumer Confidence,Medium,69,72,74,2010-01-05 19:01:00
2010-01-05,7:01pm,GBP,BRC Shop Price Index y/y,Non-economic,2.2%,,0.2%,2010-01-05 19:01:00
2010-01-05,7:30pm,AUD,Building Approvals m/m,High,5.9%,3.1%,-1.8%,2010-01-05 19:30:00
2010-01-05,10:45pm,JPY,10-y Bond Auction,Non-economic,1.34|2.6,,1.25|2.8,2010-01-05 22:45:00
2010-01-06,All Day,EUR,Italian Bank Holiday,Low,,,,2010-01-06 00:00:00
2010-01-06,3:00am,CHF,Foreign Currency Reserves,High,95B,,95B,2010-01-06 03:00:00
2010-01-06,3:15am,EUR,Spanish Services PMI,Non-economic,45.0,,46.1,2010-01-06 03:15:00
2010-01-06,3:45am,EUR,Italian Services PMI,Non-economic,53.9,51.9,49.8,2010-01-06 03:45:00
2010-01-06,3:50am,EUR,French Final Services PMI,Non-economic,58.7,59.3,59.3,2010-01-06 03:50:00
2010-01-06,3:55am,EUR,German Final Services PMI,Non-economic,52.7,53.1,53.1,2010-01-06 03:55:00
2010-01-06,4:00am,EUR,Final Services PMI,Non-economic,53.6,53.7,53.7,2010-01-06 04:00:00
2010-01-06,4:30am,GBP,Final Services PMI,High,56.8,56.7,56.6,2010-01-06 04:30:00
2010-01-06,5:00am,EUR,Industrial New Orders m/m,Medium,-2.2%,-1.0%,1.7%,2010-01-06 05:00:00
2010-01-06,5:00am,EUR,PPI m/m,Non-economic,0.1%,0.2%,0.3%,2010-01-06 05:00:00
