Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2024-01-01,All Day,CHF,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,EUR,French Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,EUR,German Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,GBP,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,CAD,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,USD,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,NZD,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,All Day,JPY,Bank Holiday,Low,,,,2024-01-01 00:00:00
2024-01-01,7:01pm,GBP,BRC Shop Price Index y/y,Non-economic,4.3%,,4.3%,2024-01-01 19:01:00
2024-01-01,8:45pm,CNY,RatingDog Manufacturing PMI,Medium,50.8,50.4,50.7,2024-01-01 20:45:00
2024-01-02,12:30am,AUD,Commodity Prices y/y,Non-economic,-10.7%,,-12.8%,2024-01-02 00:30:00
2024-01-02,All Day,CHF,Bank Holiday,Low,,,,2024-01-02 00:00:00
2024-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,46.2,46.3,46.3,2024-01-02 03:15:00
2024-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,45.3,44.3,44.4,2024-01-02 03:45:00
2024-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,42.1,42.0,42.0,2024-01-02 03:50:00
2024-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,43.3,43.1,43.1,2024-01-02 03:55:00
2024-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,44.4,44.2,44.2,2024-01-02 04:00:00
2024-01-02,4:00am,EUR,M3 Money Supply y/y,Non-economic,-0.9%,-1.0%,-1.0%,2024-01-02 04:00:00
2024-01-02,4:00am,EUR,Private Loans y/y,Non-economic,0.5%,0.8%,0.6%,2024-01-02 04:00:00
2024-01-02,4:30am,GBP,Final Manufacturing PMI,Non-economic,46.2,46.4,46.4,2024-01-02 04:30:00
2024-01-02,9:30am,CAD,Manufacturing PMI,Non-economic,45.4,,47.7,2024-01-02 09:30:00
2024-01-02,9:45am,USD,Final Manufacturing PMI,Non-economic,47.9,48.4,48.2,2024-01-02 09:45:00
2024-01-02,9:51am,NZD,GDT Price Index,Non-economic,1.2%,,2.3%,2024-01-02 09:51:00
2024-01-02,10:00am,USD,Construction Spending m/m,Non-economic,0.4%,0.6%,1.2%,2024-01-02 10:00:00
2024-01-02,All Day,JPY,Bank Holiday,Low,,,,2024-01-02 00:00:00
2024-01-03,3:00am,EUR,Spanish Unemployment Change,Non-economic,-27.4K,-15.7K,-24.6K,2024-01-03 03:00:00
2024-01-03,3:30am,CHF,Manufacturing PMI,Non-economic,43.0,43.0,42.1,2024-01-03 03:30:00
2024-01-03,3:55am,EUR,German Unemployment Change,Non-economic,5K,20K,21K,2024-01-03 03:55:00
2024-01-03,8:30am,USD,FOMC Member Barkin Speaks,Medium,,,,2024-01-03 08:30:00
2024-01-03,10:00am,USD,ISM Manufacturing PMI,High,47.4,47.2,46.7,2024-01-03 10:00:00
2024-01-03,10:00am,USD,JOLTS Job Openings,High,8.79M,8.84M,8.85M,2024-01-03 10:00:00
2024-01-03,10:00am,USD,ISM Manufacturing Prices,Medium,45.2,49.5,49.9,2024-01-03 10:00:00
2024-01-03,All Day,USD,Wards Total Vehicle Sales,Non-economic,15.8M,15.5M,15.3M,2024-01-03 00:00:00
2024-01-03,2:00pm,USD,FOMC Meeting Minutes,High,,,,2024-01-03 14:00:00
2024-01-03,4:30pm,USD,API Weekly Statistical Bulletin,Non-economic,,,,2024-01-03 16:30:00
