Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2008-01-01,All Day,CHF,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,EUR,German Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,EUR,French Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,GBP,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,CAD,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,USD,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,NZD,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,5:30pm,AUD,AIG Manufacturing Index,Non-economic,57.6,,53.8,2008-01-01 17:30:00
2008-01-01,All Day,CNY,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,All Day,JPY,Bank Holiday,Low,,,,2008-01-01 00:00:00
2008-01-01,9:30pm,CNY,RatingDog Manufacturing PMI,Medium,53.3,,52.8,2008-01-01 21:30:00
2008-01-02,12:30am,AUD,Commodity Prices y/y,Medium,1.8%,,1.6%,2008-01-02 00:30:00
2008-01-02,All Day,CHF,Bank Holiday,Low,,,,2008-01-02 00:00:00
2008-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,49.5,,50.7,2008-01-02 03:15:00
2008-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,50.7,51.2,51.3,2008-01-02 03:45:00
2008-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,52.6,52.5,52.5,2008-01-02 04:00:00
2008-01-02,4:30am,GBP,Final Manufacturing PMI,Medium,52.9,53.9,54.3,2008-01-02 04:30:00
2008-01-02,5:07am,EUR,German 10-y Bond Auction,Non-economic,4.35|1.2,,4.19|2.0,2008-01-02 05:07:00
2008-01-02,10:00am,USD,ISM Manufacturing PMI,High,47.7,50.7,50.8,2008-01-02 10:00:00
2008-01-02,10:00am,USD,Construction Spending m/m,Non-economic,0.1%,-0.4%,-0.4%,2008-01-02 10:00:00
2008-01-02,10:00am,USD,ISM Manufacturing Prices,Non-economic,68.0,65.0,67.5,2008-01-02 10:00:00
2008-01-02,2:00pm,USD,FOMC Meeting Minutes,High,,,,2008-01-02 14:00:00
2008-01-02,All Day,JPY,Bank Holiday,Low,,,,2008-01-02 00:00:00
2008-01-02,8:00pm,CNY,Non-Manufacturing PMI,Non-economic,58.8,,54.1,2008-01-02 20:00:00
2008-01-03,3:00am,EUR,Spanish Unemployment Change,Non-economic,35.1K,,45.9K,2008-01-03 03:00:00
2008-01-03,3:30am,CHF,Manufacturing PMI,Medium,61.3,61.5,63.4,2008-01-03 03:30:00
2008-01-03,3:55am,EUR,German Unemployment Change,Medium,-70K,-69K,-52K,2008-01-03 03:55:00
2008-01-03,4:00am,EUR,M3 Money Supply y/y,Non-economic,12.3%,12.3%,12.3%,2008-01-03 04:00:00
