Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2015-01-01,1:00am,USD,Natural Gas Storage,Non-economic,-26B,-37B,-49B
2015-01-01,All Day,NZD,Bank Holiday,Low,,,
2015-01-01,All Day,AUD,Bank Holiday,Low,,,
2015-01-01,All Day,CNY,Bank Holiday,Low,,,
2015-01-01,All Day,JPY,Bank Holiday,Low,,,
2015-01-01,9:00am,CNY,Manufacturing PMI,High,50.1,50.0,50.3
2015-01-01,9:09am,CNY,Non-Manufacturing PMI,Medium,54.1,,53.9
2015-01-01,All Day,CHF,Bank Holiday,Low,,,
2015-01-01,All Day,EUR,Italian Bank Holiday,Low,,,
2015-01-01,All Day,EUR,French Bank Holiday,Low,,,
2015-01-01,All Day,EUR,German Bank Holiday,Low,,,
2015-01-01,All Day,GBP,Bank Holiday,Low,,,
2015-01-01,All Day,CAD,Bank Holiday,Low,,,
2015-01-01,All Day,USD,Bank Holiday,Low,,,
2015-01-02,All Day,NZD,Bank Holiday,Low,,,
2015-01-02,All Day,CNY,Bank Holiday,Low,,,
2015-01-02,All Day,JPY,Bank Holiday,Low,,,
2015-01-02,1:30pm,AUD,Commodity Prices y/y,Non-economic,-21.2%,,-18.4%
2015-01-02,All Day,CHF,Bank Holiday,Low,,,
2015-01-02,4:15pm,EUR,Spanish Manufacturing PMI,Medium,53.8,54.9,54.7
2015-01-02,4:45pm,EUR,Italian Manufacturing PMI,Medium,48.4,49.6,49.0
2015-01-02,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,47.5,47.9,47.9
2015-01-02,4:55pm,EUR,German Final Manufacturing PMI,Medium,51.2,51.2,51.2
2015-01-02,5:00pm,EUR,Final Manufacturing PMI,Non-economic,50.6,50.8,50.8
2015-01-02,5:30pm,GBP,Final Manufacturing PMI,High,52.5,53.7,53.3
2015-01-02,5:30pm,GBP,Net Lending to Individuals m/m,Medium,3.3B,2.5B,2.7B
2015-01-02,5:30pm,GBP,M4 Money Supply m/m,Non-economic,0.0%,0.2%,0.0%
2015-01-02,5:30pm,GBP,Mortgage Approvals,Non-economic,59K,59K,60K
2015-01-02,10:30pm,CAD,Manufacturing PMI,Non-economic,53.9,,55.3
2015-01-02,10:45pm,USD,Final Manufacturing PMI,Non-economic,53.9,54.1,53.7
2015-01-02,11:00pm,USD,ISM Manufacturing PMI,High,55.5,57.6,58.7
2015-01-02,11:00pm,USD,Construction Spending m/m,Non-economic,-0.3%,0.4%,1.2%
2015-01-02,11:00pm,USD,ISM Manufacturing Prices,Non-economic,38.5,43.1,44.5
2015-01-05,6:30am,AUD,AIG Manufacturing Index,Non-economic,46.9,,50.1
2015-01-05,9:35am,JPY,Final Manufacturing PMI,Non-economic,52.0,52.1,52.1
2015-01-05,All Day,EUR,German Prelim CPI m/m,High,0.0%,0.1%,0.0%
2015-01-05,4:00pm,EUR,Spanish Unemployment Change,Medium,-64.4K,-72.0K,-14.7K
2015-01-05,4:30pm,CHF,Manufacturing PMI,Non-economic,54.0,52.9,52.1
2015-01-05,5:30pm,EUR,Sentix Investor Confidence,Non-economic,0.9,-0.9,-2.5
2015-01-05,5:30pm,GBP,Construction PMI,High,57.6,59.2,59.4
2015-01-05,9:00pm,USD,FOMC Member Williams Speaks,Medium,,,
