Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2015-01-06,All Day,USD,Total Vehicle Sales,Non-economic,16.9M,16.9M,17.2M
2015-01-06,7:50am,JPY,Monetary Base y/y,Non-economic,38.2%,34.3%,36.7%
2015-01-06,8:30am,AUD,Goods Trade Balance,High,-0.93B,-1.59B,-0.88B
2015-01-06,9:45am,CNY,Caixin Services PMI,Medium,53.4,,53.0
2015-01-06,11:45am,JPY,10-y Bond Auction,Non-economic,0.30|3.4,,0.47|3.0
2015-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2015-01-06,4:15pm,EUR,Spanish Services PMI,Medium,54.3,52.9,52.7
2015-01-06,4:45pm,EUR,Italian Services PMI,Medium,49.4,51.4,51.8
2015-01-06,4:50pm,EUR,French Final Services PMI,Non-economic,50.6,49.8,49.8
2015-01-06,4:55pm,EUR,German Final Services PMI,Medium,52.1,51.4,51.4
2015-01-06,5:00pm,EUR,Final Services PMI,Non-economic,51.6,51.9,51.9
2015-01-06,5:30pm,GBP,Final Services PMI,High,55.8,58.9,58.6
2015-01-06,5:30pm,GBP,BOE Credit Conditions Survey,Medium,,,
2015-01-06,6:35pm,GBP,10-y Bond Auction,Non-economic,1.62|1.6,,2.21|1.5
2015-01-06,9:30pm,CAD,RMPI m/m,Medium,-5.8%,-4.6%,-4.2%
2015-01-06,9:30pm,CAD,IPPI m/m,Non-economic,-0.4%,-0.5%,-0.6%
2015-01-06,10:45pm,USD,Final Services PMI,Non-economic,53.3,53.8,53.6
2015-01-06,10:49pm,NZD,GDT Price Index,High,3.6%,,2.4%
2015-01-06,11:00pm,USD,ISM Services PMI,High,56.2,58.2,59.3
2015-01-06,11:00pm,USD,Factory Orders m/m,Medium,-0.7%,-0.3%,-0.7%
2015-01-07,6:20am,AUD,AIG Services Index,Non-economic,47.5,,43.8
2015-01-07,8:00am,NZD,ANZ Commodity Prices m/m,Non-economic,-4.4%,,-1.6%
2015-01-07,8:01am,GBP,BRC Shop Price Index y/y,Non-economic,-1.7%,,-1.9%
2015-01-07,3:00pm,EUR,German Retail Sales m/m,Medium,1.0%,0.2%,2.0%
2015-01-07,4:00pm,CHF,Foreign Currency Reserves,Medium,495B,,463B
2015-01-07,4:55pm,EUR,German Unemployment Change,Medium,-27K,-6K,-16K
2015-01-07,5:00pm,EUR,Italian Monthly Unemployment Rate,Non-economic,13.4%,13.3%,13.3%
2015-01-07,5:10pm,EUR,Retail PMI,Non-economic,47.6,,48.9
2015-01-07,6:00pm,EUR,CPI Flash Estimate y/y,High,-0.2%,0.0%,0.3%
2015-01-07,6:00pm,EUR,Core CPI Flash Estimate y/y,Medium,0.8%,0.6%,0.7%
2015-01-07,6:00pm,EUR,Unemployment Rate,Medium,11.5%,11.5%,11.5%
2015-01-07,6:00pm,EUR,Italian Prelim CPI m/m,Non-economic,0.0%,-0.2%,-0.2%
2015-01-07,9:15pm,USD,ADP Non-Farm Employment Change,High,241K,227K,227K
2015-01-07,9:30pm,CAD,Trade Balance,High,-0.6B,-0.2B,-0.3B
2015-01-07,9:30pm,USD,Trade Balance,High,-39.0B,-42.3B,-42.2B
2015-01-07,11:00pm,CAD,Ivey PMI,High,55.4,52.3,56.9
2015-01-07,11:30pm,USD,Crude Oil Inventories,Medium,-3.1M,0.9M,-1.8M
2015-01-08,3:00am,USD,FOMC Meeting Minutes,High,,,
2015-01-08,7:30am,USD,FOMC Member Evans Speaks,Medium,,,
2015-01-08,8:30am,AUD,Building Approvals m/m,High,7.5%,-2.7%,11.5%
2015-01-08,3:00pm,EUR,German Factory Orders m/m,Non-economic,-2.4%,-0.6%,2.9%
2015-01-08,4:00pm,GBP,Halifax HPI m/m,Medium,0.9%,0.3%,0.5%
2015-01-08,5:59pm,EUR,French 10-y Bond Auction,Non-economic,0.79|2.0,,1.11|2.4
2015-01-08,6:00pm,EUR,Retail Sales m/m,Medium,0.6%,0.3%,0.6%
2015-01-08,6:00pm,EUR,PPI m/m,Non-economic,-0.3%,-0.2%,-0.3%
2015-01-08,8:00pm,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-01-08,8:00pm,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-01-08,8:30pm,USD,Challenger Job Cuts y/y,Non-economic,6.6%,,-20.7%
2015-01-08,9:30pm,CAD,NHPI m/m,Medium,0.1%,0.2%,0.1%
2015-01-08,9:30pm,USD,Unemployment Claims,High,294K,291K,298K
2015-01-08,11:30pm,USD,Natural Gas Storage,Non-economic,-131B,-120B,-26B
2015-01-09,4:00am,USD,Consumer Credit m/m,Non-economic,14.1B,15.1B,16.0B
2015-01-09,5:45am,NZD,Building Consents m/m,Medium,10.0%,,9.8%
2015-01-09,6:30am,AUD,AIG Construction Index,Non-economic,44.4,,45.4
2015-01-09,8:30am,AUD,Retail Sales m/m,High,0.1%,0.3%,0.4%
2015-01-09,9:30am,CNY,CPI y/y,High,1.5%,1.5%,1.4%
2015-01-09,9:30am,CNY,PPI y/y,Medium,-3.3%,-3.1%,-2.7%
2015-01-09,1:00pm,JPY,Leading Indicators,Non-economic,103.8%,104.9%,104.5%
2015-01-09,2:45pm,CHF,Unemployment Rate,Non-economic,3.2%,3.1%,3.2%
2015-01-09,3:00pm,EUR,German Industrial Production m/m,Non-economic,-0.1%,0.4%,0.6%
2015-01-09,3:00pm,EUR,German Trade Balance,Non-economic,17.7B,19.4B,20.6B
2015-01-09,3:45pm,EUR,French Industrial Production m/m,Medium,-0.3%,0.4%,-0.7%
2015-01-09,3:45pm,EUR,French Trade Balance,Non-economic,-3.2B,-4.5B,-4.3B
2015-01-09,4:15pm,CHF,CPI m/m,Medium,-0.5%,-0.3%,0.0%
2015-01-09,5:30pm,GBP,Manufacturing Production m/m,High,0.7%,0.4%,-0.7%
2015-01-09,5:30pm,GBP,Goods Trade Balance,Medium,-8.8B,-9.5B,-9.8B
2015-01-09,5:30pm,GBP,Construction Output m/m,Non-economic,-2.0%,1.3%,-1.9%
2015-01-09,5:30pm,GBP,Industrial Production m/m,Non-economic,-0.1%,0.2%,-0.3%
2015-01-09,9:13pm,CAD,Housing Starts,Non-economic,181K,191K,195K
2015-01-09,9:30pm,CAD,Building Permits m/m,High,-13.8%,0.8%,2.1%
2015-01-09,9:30pm,CAD,Employment Change,High,-4.3K,10.3K,-10.7K
2015-01-09,9:30pm,CAD,Unemployment Rate,High,6.6%,6.6%,6.6%
2015-01-09,9:30pm,USD,Non-Farm Employment Change,High,252K,241K,353K
2015-01-09,9:30pm,USD,Unemployment Rate,High,5.6%,5.7%,5.8%
2015-01-09,9:30pm,USD,Average Hourly Earnings m/m,Medium,-0.2%,0.2%,0.2%
2015-01-09,10:49pm,GBP,NIESR GDP Estimate,Medium,0.6%,,0.7%
2015-01-09,11:00pm,USD,Final Wholesale Inventories m/m,Non-economic,0.8%,0.4%,0.6%
2015-01-10,2:20am,USD,FOMC Member Lacker Speaks,Medium,,,
2015-01-12,All Day,JPY,Bank Holiday,Low,,,
2015-01-12,8:30am,AUD,ANZ Job Advertisements m/m,Medium,1.8%,,0.7%
2015-01-12,8:30am,AUD,Home Loans m/m,Medium,-0.7%,1.8%,0.2%
2015-01-12,11:10pm,USD,Labor Market Conditions Index m/m,Non-economic,6.1,,5.5
2015-01-12,11:30pm,CAD,BOC Business Outlook Survey,Medium,,,
2015-01-13,1:40am,USD,FOMC Member Lockhart Speaks,Medium,,,
2015-01-13,7:50am,JPY,Current Account,Medium,0.91T,0.69T,0.95T
2015-01-13,7:50am,JPY,Bank Lending y/y,Non-economic,2.6%,,2.7%
2015-01-13,8:01am,GBP,BRC Retail Sales Monitor y/y,Non-economic,-0.4%,,0.9%
2015-01-13,10:00am,CNY,USD-Denominated Trade Balance,High,49.6B,48.9B,54.5B
2015-01-13,1:03pm,JPY,Economy Watchers Sentiment,Non-economic,45.2,44.3,41.5
2015-01-13,3:00pm,EUR,German WPI m/m,Non-economic,-1.0%,0.2%,-0.7%
2015-01-13,5:00pm,EUR,Italian Industrial Production m/m,Non-economic,0.3%,0.1%,0.0%
2015-01-13,5:30pm,GBP,CPI y/y,High,0.5%,0.7%,1.0%
2015-01-13,5:30pm,GBP,PPI Input m/m,Medium,-2.4%,-2.5%,-0.7%
2015-01-13,5:30pm,GBP,RPI y/y,Medium,1.6%,1.7%,2.0%
2015-01-13,5:30pm,GBP,Core CPI y/y,Non-economic,1.3%,1.4%,1.2%
2015-01-13,5:30pm,GBP,ONS HPI y/y,Non-economic,10.0%,10.1%,10.4%
2015-01-13,5:30pm,GBP,PPI Output m/m,Non-economic,-0.3%,-0.1%,-0.2%
2015-01-13,10:00pm,USD,NFIB Small Business Index,Non-economic,100.4,98.6,98.1
2015-01-13,11:00pm,USD,JOLTS Job Openings,Medium,4.97M,4.86M,4.83M
2015-01-13,11:00pm,USD,RCM/TIPP Economic Optimism,Non-economic,51.5,48.9,48.4
2015-01-14,2:01am,USD,10-y Bond Auction,Medium,1.93|2.6,,2.21|3.0
2015-01-14,3:00am,USD,Federal Budget Balance,Non-economic,1.9B,3.8B,-56.8B
2015-01-14,7:50am,JPY,M2 Money Stock y/y,Non-economic,3.6%,3.6%,3.6%
2015-01-14,11:45am,JPY,30-y Bond Auction,Non-economic,1.12|3.6,,1.46|3.1
2015-01-14,2:00pm,JPY,Prelim Machine Tool Orders y/y,Non-economic,33.8%,,36.6%
2015-01-14,3:45pm,EUR,French Final CPI m/m,Non-economic,0.1%,0.0%,-0.2%
2015-01-14,4:35pm,EUR,European Court of Justice Ruling,High,,,
2015-01-14,6:00pm,EUR,Industrial Production m/m,Non-economic,0.2%,0.0%,0.3%
2015-01-14,6:00pm,GBP,CB Leading Index m/m,Non-economic,-0.3%,,-0.3%
2015-01-14,6:33pm,EUR,German 10-y Bond Auction,Medium,0.52|1.3,,0.74|1.1
2015-01-14,9:30pm,USD,Core Retail Sales m/m,High,-1.0%,0.1%,0.1%
2015-01-14,9:30pm,USD,Retail Sales m/m,High,-0.9%,0.2%,0.4%
2015-01-14,9:30pm,USD,Import Prices m/m,Medium,-2.5%,-2.7%,-1.8%
2015-01-14,10:15pm,GBP,BOE Gov Carney Speaks,High,,,
2015-01-14,11:00pm,USD,Business Inventories m/m,Medium,0.2%,0.2%,0.2%
2015-01-14,11:30pm,USD,Crude Oil Inventories,Medium,5.4M,1.2M,-3.1M
2015-01-15,2:01am,USD,30-y Bond Auction,Non-economic,2.43|2.3,,2.85|2.8
2015-01-15,3:00am,USD,Beige Book,Non-economic,,,
2015-01-15,5:45am,NZD,FPI m/m,Non-economic,0.3%,,-0.5%
2015-01-15,7:50am,JPY,Core Machinery Orders m/m,Medium,1.3%,4.8%,-6.4%
2015-01-15,7:50am,JPY,PPI y/y,Non-economic,1.9%,2.2%,2.6%
2015-01-15,8:01am,GBP,RICS House Price Balance,Non-economic,11%,11%,13%
2015-01-15,8:30am,AUD,Employment Change,High,37.4K,5.3K,45.0K
2015-01-15,8:30am,AUD,Unemployment Rate,High,6.1%,6.3%,6.2%
2015-01-15,9:30am,NZD,REINZ HPI m/m,Non-economic,-1.0%,,3.3%
2015-01-15,10:02am,CNY,New Loans,Medium,697B,885B,853B
2015-01-15,10:02am,CNY,M2 Money Supply y/y,Non-economic,12.2%,12.5%,12.3%
2015-01-15,5:30pm,CHF,Libor Rate,High,-0.75%,,-0.25%
2015-01-15,6:00pm,EUR,Trade Balance,Non-economic,20.0B,21.3B,19.6B
2015-01-15,8:15pm,CHF,SNB Chairman Jordan Speaks,High,,,
2015-01-15,8:55pm,CNY,Foreign Direct Investment ytd/y,Non-economic,1.7%,,0.7%
2015-01-15,9:30pm,USD,PPI m/m,High,-0.3%,-0.3%,-0.2%
2015-01-15,9:30pm,USD,Unemployment Claims,High,316K,299K,297K
2015-01-15,9:30pm,USD,Core PPI m/m,Medium,0.3%,0.2%,0.0%
2015-01-15,9:30pm,USD,Empire State Manufacturing Index,Medium,10.0,5.3,-3.6
2015-01-15,11:00pm,USD,Philly Fed Manufacturing Index,High,6.3,20.3,24.5
2015-01-15,11:30pm,USD,Natural Gas Storage,Non-economic,-236B,-224B,-131B
2015-01-16,12:15am,EUR,German Buba President Weidmann Speaks,High,,,
2015-01-16,7:50am,JPY,Tertiary Industry Activity m/m,Medium,0.2%,0.3%,-0.1%
2015-01-16,3:00pm,EUR,German Final CPI m/m,Non-economic,0.0%,0.0%,0.0%
2015-01-16,3:45pm,EUR,French Gov Budget Balance,Non-economic,-90.8B,,-84.7B
2015-01-16,4:15pm,CHF,Retail Sales y/y,Medium,-1.2%,1.1%,0.6%
2015-01-16,6:00pm,EUR,Final CPI y/y,Medium,-0.2%,-0.2%,-0.2%
2015-01-16,6:00pm,EUR,Final Core CPI y/y,Non-economic,0.7%,0.8%,0.8%
2015-01-16,9:30pm,USD,Core CPI m/m,High,0.0%,0.1%,0.1%
2015-01-16,9:30pm,USD,CPI m/m,High,-0.4%,-0.3%,-0.3%
2015-01-16,9:30pm,USD,CPI y/y,High,0.8%,0.7%,1.3%
2015-01-16,10:15pm,USD,Capacity Utilization Rate,Medium,79.7%,80.2%,80.0%
2015-01-16,10:15pm,USD,Industrial Production m/m,Medium,-0.1%,0.1%,1.3%
2015-01-16,11:00pm,USD,Prelim UoM Consumer Sentiment,High,98.2,94.2,93.6
2015-01-16,11:00pm,USD,Prelim UoM Inflation Expectations,Non-economic,2.4%,,2.8%
2015-01-17,12:00am,USD,FOMC Member Williams Speaks,Medium,,,
2015-01-17,5:00am,USD,TIC Long-Term Purchases,Non-economic,33.5B,27.3B,-1.4B
2015-01-17,9:50pm,USD,FOMC Member Lockhart Speaks,Medium,,,
2015-01-19,7:01am,GBP,Rightmove HPI m/m,Non-economic,1.4%,,-3.3%
2015-01-19,7:30am,AUD,MI Inflation Gauge m/m,Non-economic,0.0%,,0.1%
2015-01-19,8:30am,AUD,New Motor Vehicle Sales m/m,Medium,3.0%,,-0.5%
2015-01-19,12:30pm,JPY,Revised Industrial Production m/m,Non-economic,-0.5%,-0.5%,-0.6%
2015-01-19,1:00pm,JPY,Consumer Confidence,Non-economic,38.8,38.6,37.7
2015-01-19,4:15pm,CHF,PPI m/m,Medium,-0.4%,-0.6%,-0.7%
2015-01-19,5:00pm,EUR,Current Account,Non-economic,18.1B,22.7B,19.5B
2015-01-19,7:00pm,EUR,German Buba Monthly Report,Medium,,,
2015-01-19,All Day,USD,Bank Holiday,Low,,,
2015-01-19,9:30pm,CAD,Foreign Securities Purchases,Medium,4.29B,7.23B,9.53B
2015-01-20,5:00am,NZD,NZIER Business Confidence,High,23,,19
2015-01-20,10:00am,CNY,GDP q/y,High,7.3%,7.2%,7.3%
2015-01-20,10:00am,CNY,Fixed Asset Investment ytd/y,Medium,15.7%,15.7%,15.8%
2015-01-20,10:00am,CNY,Industrial Production y/y,Medium,7.9%,7.4%,7.2%
2015-01-20,10:00am,CNY,NBS Press Conference,Medium,,,
2015-01-20,10:00am,CNY,Retail Sales y/y,Non-economic,11.9%,11.7%,11.7%
2015-01-20,3:00pm,EUR,German PPI m/m,Non-economic,-0.7%,-0.3%,0.0%
2015-01-20,5:03pm,EUR,Italian Trade Balance,Non-economic,3.54B,4.32B,5.40B
2015-01-20,6:00pm,EUR,German ZEW Economic Sentiment,High,48.4,40.1,34.9
2015-01-20,6:00pm,EUR,ZEW Economic Sentiment,Medium,45.2,37.6,31.8
2015-01-20,9:30pm,CAD,Manufacturing Sales m/m,High,-1.4%,-0.5%,-1.1%
2015-01-20,10:34pm,NZD,GDT Price Index,High,1.0%,,3.6%
2015-01-20,11:00pm,USD,FOMC Member Powell Speaks,Medium,,,
2015-01-20,11:00pm,USD,NAHB Housing Market Index,Medium,57,58,58
2015-01-21,5:45am,NZD,CPI q/q,High,-0.2%,0.0%,0.3%
2015-01-21,7:30am,AUD,Westpac Consumer Sentiment,Medium,2.4%,,-5.7%
2015-01-21,10:00am,USD,President Obama Speaks,Non-economic,,,
2015-01-21,11:29am,JPY,Monetary Policy Statement,High,,,
2015-01-21,12:30pm,JPY,All Industries Activity m/m,Non-economic,0.1%,0.1%,0.1%
2015-01-21,2:30pm,JPY,BOJ Press Conference,High,,,
2015-01-21,Day 1,All,WEF Annual Meetings,Medium,,,
2015-01-21,5:30pm,GBP,Average Earnings Index 3m/y,High,1.7%,1.7%,1.4%
2015-01-21,5:30pm,GBP,Claimant Count Change,High,-29.7K,-24.2K,-29.6K
2015-01-21,5:30pm,GBP,MPC Official Bank Rate Votes,High,0-0-9,2-0-7,2-0-7
2015-01-21,5:30pm,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-01-21,5:30pm,GBP,Unemployment Rate,Medium,5.8%,5.9%,6.0%
2015-01-21,6:00pm,CHF,UBS Economic Expectations,Non-economic,-10.8,,-4.9
2015-01-21,9:30pm,CAD,Wholesale Sales m/m,High,-0.3%,0.2%,-1.1%
2015-01-21,9:30pm,USD,Building Permits,High,1.03M,1.06M,1.05M
2015-01-21,9:30pm,USD,Housing Starts,Medium,1.09M,1.04M,1.04M
2015-01-21,11:00pm,CAD,BOC Monetary Policy Report,High,,,
2015-01-21,11:00pm,CAD,BOC Rate Statement,High,,,
2015-01-21,11:00pm,CAD,Overnight Rate,High,0.75%,1.00%,1.00%
2015-01-22,12:15am,CAD,BOC Press Conference,High,,,
2015-01-22,5:30am,NZD,BusinessNZ Manufacturing Index,Medium,57.7,,55.6
2015-01-22,8:00am,AUD,MI Inflation Expectations,Medium,3.2%,,3.4%
2015-01-22,8:00am,AUD,HIA New Home Sales m/m,Non-economic,2.2%,,3.0%
2015-01-22,1:00pm,JPY,BOJ Monthly Report,Non-economic,,,
2015-01-22,4:00pm,EUR,Spanish Unemployment Rate,Medium,23.7%,23.6%,23.7%
2015-01-22,5:00pm,GBP,MPC Member Miles Speaks,Medium,,,
2015-01-22,Day 2,All,WEF Annual Meetings,Medium,,,
2015-01-22,5:30pm,GBP,Public Sector Net Borrowing,Medium,12.5B,9.2B,11.7B
2015-01-22,6:00pm,EUR,Italian Retail Sales m/m,Non-economic,0.1%,0.1%,0.0%
2015-01-22,7:00pm,GBP,CBI Industrial Order Expectations,Medium,4,6,5
2015-01-22,8:45pm,EUR,Main Refinancing Rate,High,0.05%,0.05%,0.05%
2015-01-22,9:30pm,EUR,ECB Press Conference,High,,,
2015-01-22,9:30pm,USD,Unemployment Claims,High,307K,301K,317K
2015-01-22,10:00pm,USD,HPI m/m,Non-economic,0.8%,0.4%,0.4%
2015-01-22,11:00pm,EUR,Consumer Confidence,Non-economic,-9,-11,-11
2015-01-22,11:30pm,USD,Natural Gas Storage,Non-economic,-216B,-231B,-236B
2015-01-23,12:00am,USD,Crude Oil Inventories,Medium,10.1M,2.5M,5.4M
2015-01-23,9:35am,JPY,Flash Manufacturing PMI,Non-economic,52.1,52.0,52.0
2015-01-23,9:45am,CNY,Caixin Flash Manufacturing PMI,High,49.8,49.5,49.6
2015-01-23,4:00pm,EUR,French Flash Manufacturing PMI,High,49.5,48.1,47.5
2015-01-23,4:00pm,EUR,French Flash Services PMI,Medium,49.5,50.9,50.6
2015-01-23,4:30pm,EUR,German Flash Manufacturing PMI,High,51.0,51.8,51.2
2015-01-23,4:30pm,EUR,German Flash Services PMI,Medium,52.7,52.6,52.1
2015-01-23,5:00pm,EUR,Flash Manufacturing PMI,Medium,51.0,51.0,50.6
2015-01-23,5:00pm,EUR,Flash Services PMI,Medium,52.3,52.1,51.6
2015-01-23,Day 3,All,WEF Annual Meetings,Medium,,,
2015-01-23,5:30pm,GBP,Retail Sales m/m,High,0.4%,-0.6%,1.6%
2015-01-23,9:30pm,CAD,Core CPI m/m,High,-0.3%,-0.3%,-0.2%
2015-01-23,9:30pm,CAD,Core Retail Sales m/m,High,0.7%,0.5%,0.1%
2015-01-23,9:30pm,CAD,CPI m/m,Medium,-0.7%,-0.5%,-0.4%
2015-01-23,9:30pm,CAD,Retail Sales m/m,Medium,0.4%,0.1%,0.0%
2015-01-23,10:00pm,EUR,Belgian NBB Business Climate,Non-economic,-8.8,-6.1,-6.9
2015-01-23,10:45pm,USD,Flash Manufacturing PMI,Medium,53.7,54.1,53.9
2015-01-23,11:00pm,USD,Existing Home Sales,Medium,5.04M,5.08M,4.92M
2015-01-23,11:00pm,USD,CB Leading Index m/m,Non-economic,0.5%,0.5%,0.4%
2015-01-24,Day 4,All,WEF Annual Meetings,Medium,,,
2015-01-25,All Day,EUR,Greek Parliamentary Election,High,,,
2015-01-26,All Day,AUD,Bank Holiday,Low,,,
2015-01-26,5:30am,NZD,BusinessNZ Services Index,Non-economic,56.5,,53.7
2015-01-26,7:50am,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-01-26,7:50am,JPY,Trade Balance,Medium,-0.71T,-0.74T,-0.83T
2015-01-26,10:00am,NZD,Credit Card Spending y/y,Non-economic,4.5%,,5.1%
2015-01-26,5:00pm,EUR,German ifo Business Climate,High,106.7,106.7,105.5
2015-01-26,All Day,EUR,Eurogroup Meetings,Medium,,,
2015-01-27,7:50am,JPY,SPPI y/y,Non-economic,3.6%,3.6%,3.6%
2015-01-27,8:30am,AUD,NAB Business Confidence,High,2,,2
2015-01-27,10:00am,CNY,CB Leading Index m/m,Non-economic,1.1%,,0.8%
2015-01-27,5:30pm,GBP,Prelim GDP q/q,High,0.5%,0.6%,0.7%
2015-01-27,5:30pm,GBP,High Street Lending,Medium,35.7K,36.6K,36.7K
2015-01-27,5:30pm,GBP,Index of Services 3m/3m,Non-economic,0.8%,1.0%,0.7%
2015-01-27,All Day,EUR,ECOFIN Meetings,Medium,,,
2015-01-27,9:30pm,USD,Core Durable Goods Orders m/m,High,-0.8%,0.6%,-0.7%
2015-01-27,9:30pm,USD,Durable Goods Orders m/m,Medium,-3.4%,0.6%,-0.9%
2015-01-27,10:00pm,USD,S&P/CS Composite-20 HPI y/y,Non-economic,4.3%,4.4%,4.5%
2015-01-27,10:45pm,USD,Flash Services PMI,Non-economic,54.0,53.9,53.3
2015-01-27,10:59pm,USD,Richmond Manufacturing Index,Non-economic,6,6,7
2015-01-27,11:00pm,USD,CB Consumer Confidence,High,102.9,95.3,93.1
2015-01-27,11:00pm,USD,New Home Sales,High,481K,452K,431K
2015-01-28,7:30am,AUD,MI Leading Index m/m,Non-economic,0.0%,,-0.1%
2015-01-28,8:30am,AUD,CPI q/q,High,0.2%,0.3%,0.5%
2015-01-28,8:30am,AUD,Trimmed Mean CPI q/q,Medium,0.7%,0.5%,0.3%
2015-01-28,3:00pm,CHF,UBS Consumption Indicator,Non-economic,1.42,,1.29
2015-01-28,3:00pm,EUR,German GfK Consumer Climate,Medium,9.3,9.2,9.0
2015-01-28,3:00pm,EUR,German Import Prices m/m,Non-economic,-1.7%,-1.4%,-0.8%
2015-01-28,6:34pm,EUR,German 30-y Bond Auction,Non-economic,1.07|1.3,,1.77|1.2
2015-01-28,11:30pm,USD,Crude Oil Inventories,Medium,8.9M,4.2M,10.1M
2015-01-29,2:50am,GBP,BOE Gov Carney Speaks,High,,,
2015-01-29,3:00am,USD,Federal Funds Rate,High,<0.25%,<0.25%,<0.25%
2015-01-29,3:00am,USD,FOMC Statement,High,,,
2015-01-29,4:00am,NZD,Official Cash Rate,High,3.50%,3.50%,3.50%
2015-01-29,4:00am,NZD,RBNZ Rate Statement,High,,,
2015-01-29,5:45am,NZD,Trade Balance,High,-159M,-48M,-285M
2015-01-29,7:00am,AUD,CB Leading Index m/m,Non-economic,0.1%,,-0.2%
2015-01-29,7:50am,JPY,Retail Sales y/y,Medium,0.2%,1.1%,0.5%
2015-01-29,8:30am,AUD,Import Prices q/q,Medium,0.9%,1.5%,-0.8%
2015-01-29,3:00pm,GBP,Nationwide HPI m/m,Medium,0.3%,0.4%,0.2%
2015-01-29,All Day,EUR,German Prelim CPI m/m,High,-1.0%,-0.8%,0.0%
2015-01-29,4:55pm,EUR,German Unemployment Change,Medium,-9K,-9K,-25K
2015-01-29,5:00pm,EUR,M3 Money Supply y/y,Medium,3.6%,3.6%,3.1%
2015-01-29,5:00pm,EUR,Private Loans y/y,Medium,-0.5%,-0.5%,-0.9%
2015-01-29,6:19pm,EUR,Italian 10-y Bond Auction,Medium,1.62|1.4,,1.89|1.3
2015-01-29,7:00pm,GBP,CBI Realized Sales,Medium,39,31,61
2015-01-29,9:30pm,USD,Unemployment Claims,High,265K,301K,308K
2015-01-29,11:00pm,USD,Pending Home Sales m/m,Medium,-3.7%,0.6%,0.6%
