Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2011-01-01,9:00am,CNY,Manufacturing PMI,High,53.9,55.7,55.2,2011-01-01 09:00:00
2011-01-03,All Day,NZD,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,All Day,AUD,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,All Day,JPY,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,9:00am,CNY,Non-Manufacturing PMI,Non-economic,56.5,,53.2,2011-01-03 09:00:00
2011-01-03,All Day,CHF,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,All Day,EUR,French Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,All Day,EUR,Italian Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,All Day,GBP,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,4:15pm,EUR,Spanish Manufacturing PMI,Medium,51.5,,50.0,2011-01-03 16:15:00
2011-01-03,4:30pm,CHF,Manufacturing PMI,Medium,59.6,61.7,61.8,2011-01-03 16:30:00
2011-01-03,4:45pm,EUR,Italian Manufacturing PMI,Medium,54.7,52.3,52.0,2011-01-03 16:45:00
2011-01-03,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,57.2,56.3,56.3,2011-01-03 16:50:00
2011-01-03,4:55pm,EUR,German Final Manufacturing PMI,Non-economic,60.7,60.9,60.9,2011-01-03 16:55:00
2011-01-03,5:00pm,EUR,Final Manufacturing PMI,Non-economic,57.1,56.9,56.8,2011-01-03 17:00:00
2011-01-03,All Day,CAD,Bank Holiday,Low,,,,2011-01-03 00:00:00
2011-01-03,11:00pm,USD,ISM Manufacturing PMI,High,57.0,57.0,56.6,2011-01-03 23:00:00
2011-01-03,11:00pm,USD,Construction Spending m/m,Non-economic,0.4%,0.2%,0.7%,2011-01-03 23:00:00
2011-01-03,11:00pm,USD,ISM Manufacturing Prices,Non-economic,72.5,71.2,69.5,2011-01-03 23:00:00
2011-01-04,All Day,NZD,Bank Holiday,Low,,,,2011-01-04 00:00:00
2011-01-04,6:30am,AUD,AIG Manufacturing Index,Non-economic,46.3,,47.6,2011-01-04 06:30:00
