Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2009-01-01,All Day,CHF,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,EUR,German Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,EUR,French Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,GBP,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,CAD,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,USD,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,NZD,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,5:30pm,AUD,AIG Manufacturing Index,Non-economic,33.7,,32.7,2009-01-01 17:30:00
2009-01-01,All Day,CNY,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,All Day,JPY,Bank Holiday,Low,,,,2009-01-01 00:00:00
2009-01-01,9:30pm,CNY,RatingDog Manufacturing PMI,Medium,41.2,,40.9,2009-01-01 21:30:00
2009-01-02,12:30am,AUD,Commodity Prices y/y,Medium,34.3%,,37.1%,2009-01-02 00:30:00
2009-01-02,All Day,CHF,Bank Holiday,Low,,,,2009-01-02 00:00:00
2009-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,28.5,,29.4,2009-01-02 03:15:00
2009-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,35.5,33.9,34.9,2009-01-02 03:45:00
2009-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,34.9,35.8,35.9,2009-01-02 03:50:00
2009-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,32.7,33.4,33.5,2009-01-02 03:55:00
2009-01-02,4:00am,EUR,Final Manufacturing PMI,Medium,33.9,34.5,34.5,2009-01-02 04:00:00
2009-01-02,4:30am,GBP,Final Manufacturing PMI,High,34.9,33.5,34.5,2009-01-02 04:30:00
2009-01-02,4:30am,GBP,BOE Credit Conditions Survey,Medium,,,,2009-01-02 04:30:00
2009-01-02,4:30am,GBP,Net Lending to Individuals m/m,Medium,1.5B,1.1B,1.2B,2009-01-02 04:30:00
2009-01-02,4:30am,GBP,Mortgage Approvals,Non-economic,27K,33K,31K,2009-01-02 04:30:00
2009-01-02,5:00am,GBP,Halifax HPI m/m,High,-2.2%,-1.6%,-2.7%,2009-01-02 05:00:00
2009-01-02,10:00am,USD,ISM Manufacturing PMI,High,32.4,35.5,36.2,2009-01-02 10:00:00
2009-01-02,10:00am,USD,ISM Manufacturing Prices,Non-economic,18.0,20.5,25.5,2009-01-02 10:00:00
2009-01-02,8:00pm,CNY,Non-Manufacturing PMI,Non-economic,48.9,,45.4,2009-01-02 20:00:00
2009-01-03,5:30pm,USD,FOMC Member Evans Speaks,Medium,,,,2009-01-03 17:30:00
2009-01-03,5:30pm,USD,FOMC Member Kroszner Speaks,Medium,,,,2009-01-03 17:30:00
2009-01-03,8:00pm,CNY,Manufacturing PMI,High,41.2,,38.8,2009-01-03 20:00:00
2009-01-04,1:15pm,USD,FOMC Member Yellen Speaks,Medium,,,,2009-01-04 13:15:00
2009-01-04,5:30pm,USD,FOMC Member Yellen Speaks,Medium,,,,2009-01-04 17:30:00
2009-01-05,3:30am,CHF,Manufacturing PMI,Medium,36.9,34.8,35.2,2009-01-05 03:30:00
2009-01-05,4:30am,EUR,Sentix Investor Confidence,Non-economic,-34.4,-44.0,-42.3,2009-01-05 04:30:00
2009-01-05,4:30am,GBP,Construction PMI,Medium,29.3,30.5,31.8,2009-01-05 04:30:00
2009-01-05,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,-0.1%,-0.2%,-0.4%,2009-01-05 05:00:00
2009-01-05,10:00am,USD,Construction Spending m/m,Non-economic,-0.6%,-1.3%,-0.4%,2009-01-05 10:00:00
2009-01-05,All Day,USD,Total Vehicle Sales,Non-economic,10.3M,10.0M,10.2M,2009-01-05 00:00:00
2009-01-05,1:15pm,USD,FOMC Member Yellen Speaks,Medium,,,,2009-01-05 13:15:00
2009-01-05,5:30pm,AUD,AIG Services Index,Non-economic,39.3,,37.8,2009-01-05 17:30:00
2009-01-05,6:50pm,JPY,Monetary Base y/y,Non-economic,1.8%,1.8%,1.9%,2009-01-05 18:50:00
2009-01-05,7:01pm,GBP,Nationwide Consumer Confidence,Medium,47,47,51,2009-01-05 19:01:00
2009-01-06,2:00am,GBP,Nationwide HPI m/m,High,-2.5%,-1.5%,-0.4%,2009-01-06 02:00:00
2009-01-06,All Day,EUR,Italian Bank Holiday,Low,,,,2009-01-06 00:00:00
2009-01-06,3:15am,EUR,Spanish Services PMI,Non-economic,32.1,,28.2,2009-01-06 03:15:00
2009-01-06,3:45am,EUR,Italian Services PMI,Non-economic,40.3,39.2,39.5,2009-01-06 03:45:00
2009-01-06,3:50am,EUR,French Final Services PMI,Non-economic,40.6,41.6,41.6,2009-01-06 03:50:00
2009-01-06,3:55am,EUR,German Final Services PMI,Non-economic,46.6,46.4,46.4,2009-01-06 03:55:00
2009-01-06,4:00am,EUR,Final Services PMI,Medium,42.1,42.0,42.0,2009-01-06 04:00:00
2009-01-06,4:30am,GBP,Final Services PMI,High,40.2,39.0,40.1,2009-01-06 04:30:00
2009-01-06,5:00am,EUR,CPI Flash Estimate y/y,Medium,1.6%,1.8%,2.1%,2009-01-06 05:00:00
2009-01-06,8:30am,CAD,RMPI m/m,Medium,-13.4%,-9.0%,-12.9%,2009-01-06 08:30:00
2009-01-06,8:30am,CAD,IPPI m/m,Non-economic,-2.6%,-0.9%,-0.1%,2009-01-06 08:30:00
2009-01-06,8:30am,NZD,GDT Price Index,Non-economic,-8.6%,,-13.8%,2009-01-06 08:30:00
2009-01-06,10:00am,USD,ISM Services PMI,High,40.6,36.9,37.3,2009-01-06 10:00:00
2009-01-06,10:00am,USD,Pending Home Sales m/m,High,-4.0%,-0.9%,-4.2%,2009-01-06 10:00:00
2009-01-06,10:00am,USD,Factory Orders m/m,Medium,-4.6%,-2.5%,-6.0%,2009-01-06 10:00:00
2009-01-06,2:00pm,USD,FOMC Meeting Minutes,High,,,,2009-01-06 14:00:00
2009-01-06,4:45pm,NZD,Trade Balance,High,-520M,-838M,-996M,2009-01-06 16:45:00
2009-01-06,7:06pm,AUD,HIA New Home Sales m/m,Medium,-1.1%,,4.5%,2009-01-06 19:06:00
2009-01-06,7:30pm,AUD,Retail Sales m/m,High,0.4%,-0.3%,1.0%,2009-01-06 19:30:00
2009-01-06,8:29pm,NZD,ANZ Commodity Prices m/m,Non-economic,-7.4%,,-7.4%,2009-01-06 20:29:00
