Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2007-01-01,All Day,CHF,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,EUR,German Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,EUR,French Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,GBP,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,CAD,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,USD,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,All Day,NZD,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,5:30pm,AUD,AIG Manufacturing Index,Non-economic,52.4,,54.4,2007-01-01 17:30:00
2007-01-01,7:00pm,CNY,Bank Holiday,Low,,,,2007-01-01 19:00:00
2007-01-01,All Day,JPY,Bank Holiday,Low,,,,2007-01-01 00:00:00
2007-01-01,9:30pm,CNY,RatingDog Manufacturing PMI,Medium,52.4,,53.0,2007-01-01 21:30:00
2007-01-02,12:30am,AUD,Commodity Prices y/y,Medium,11.0%,,13.9%,2007-01-02 00:30:00
2007-01-02,All Day,CHF,Bank Holiday,Low,,,,2007-01-02 00:00:00
2007-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,57.2,,56.1,2007-01-02 03:15:00
2007-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,55.0,55.5,54.8,2007-01-02 03:45:00
2007-01-02,4:00am,EUR,Final Manufacturing PMI,Medium,56.5,56.5,56.6,2007-01-02 04:00:00
2007-01-02,4:30am,GBP,Final Manufacturing PMI,Medium,51.9,53.0,52.5,2007-01-02 04:30:00
2007-01-02,All Day,JPY,Bank Holiday,Low,,,,2007-01-02 00:00:00
2007-01-03,3:00am,EUR,Spanish Unemployment Change,Non-economic,-0.3K,,30.3K,2007-01-03 03:00:00
2007-01-03,3:30am,CHF,Manufacturing PMI,Medium,65.0,66.0,67.0,2007-01-03 03:30:00
2007-01-03,3:55am,EUR,German Unemployment Change,Medium,-96K,-110K,-90K,2007-01-03 03:55:00
2007-01-03,4:30am,GBP,Construction PMI,Non-economic,57.5,54.5,54.8,2007-01-03 04:30:00
2007-01-03,5:09am,EUR,German 10-y Bond Auction,Non-economic,3.94|1.8,,3.72|1.6,2007-01-03 05:09:00
2007-01-03,8:15am,USD,ADP Non-Farm Employment Change,Medium,-40K,120K,230K,2007-01-03 08:15:00
2007-01-03,10:00am,USD,ISM Manufacturing PMI,High,51.4,51.0,49.5,2007-01-03 10:00:00
2007-01-03,10:00am,USD,Construction Spending m/m,Non-economic,-0.2%,-0.6%,-1.0%,2007-01-03 10:00:00
2007-01-03,10:00am,USD,ISM Manufacturing Prices,Non-economic,47.5,54.0,53.5,2007-01-03 10:00:00
2007-01-03,All Day,USD,Total Vehicle Sales,Non-economic,16.7M,16.5M,16.1M,2007-01-03 00:00:00
2007-01-03,2:00pm,USD,FOMC Meeting Minutes,High,,,,2007-01-03 14:00:00
2007-01-03,4:45pm,NZD,Trade Balance,High,-785M,-976M,-1174M,2007-01-03 16:45:00
2007-01-03,5:30pm,AUD,AIG Services Index,Non-economic,49.5,,48.5,2007-01-03 17:30:00
2007-01-04,1:45am,CHF,CPI m/m,High,0.0%,0.1%,0.0%,2007-01-04 01:45:00
2007-01-04,3:15am,EUR,Spanish Services PMI,Non-economic,58.1,,60.4,2007-01-04 03:15:00
2007-01-04,3:45am,EUR,Italian Services PMI,Non-economic,55.0,56.2,56.2,2007-01-04 03:45:00
2007-01-04,4:00am,EUR,Final Services PMI,Non-economic,57.2,57.5,57.6,2007-01-04 04:00:00
2007-01-04,4:30am,GBP,Final Services PMI,Medium,60.6,60.0,59.8,2007-01-04 04:30:00
2007-01-04,4:30am,GBP,Mortgage Approvals,Non-economic,129K,120K,128K,2007-01-04 04:30:00
2007-01-04,4:30am,GBP,Net Lending to Individuals m/m,Non-economic,10.9B,11.0B,10.8B,2007-01-04 04:30:00
2007-01-04,4:55am,EUR,French 10-y Bond Auction,Non-economic,3.97|2.4,,3.74|2.4,2007-01-04 04:55:00
2007-01-04,5:00am,EUR,CPI Flash Estimate y/y,Non-economic,1.9%,1.9%,1.9%,2007-01-04 05:00:00
2007-01-04,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,0.1%,0.1%,0.2%,2007-01-04 05:00:00
2007-01-04,5:30am,GBP,GfK Consumer Confidence,Medium,-8,-6,-7,2007-01-04 05:30:00
2007-01-04,7:30am,GBP,MPC Member Blanchflower Speaks,Non-economic,,,,2007-01-04 07:30:00
2007-01-04,7:30am,USD,Challenger Job Cuts y/y,Non-economic,-49.3%,,-22.7%,2007-01-04 07:30:00
2007-01-04,8:30am,CAD,RMPI m/m,Medium,0.9%,1.0%,-2.8%,2007-01-04 08:30:00
2007-01-04,8:30am,CAD,IPPI m/m,Non-economic,0.0%,0.5%,-0.1%,2007-01-04 08:30:00
2007-01-04,8:30am,USD,Unemployment Claims,Non-economic,329K,318K,317K,2007-01-04 08:30:00
2007-01-04,10:00am,USD,ISM Services PMI,High,57.1,58.0,58.9,2007-01-04 10:00:00
2007-01-04,10:00am,USD,Pending Home Sales m/m,High,-0.5%,0.0%,-1.5%,2007-01-04 10:00:00
2007-01-04,10:00am,USD,Factory Orders m/m,Medium,0.9%,1.5%,-4.5%,2007-01-04 10:00:00
2007-01-04,10:30am,USD,Crude Oil Inventories,Non-economic,-1.3M,-2.0M,-8.1M,2007-01-04 10:30:00
2007-01-04,6:50pm,JPY,Monetary Base y/y,Non-economic,-20.0%,-23.5%,-22.3%,2007-01-04 18:50:00
