Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2013-01-01,All Day,CHF,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,EUR,German Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,EUR,French Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,GBP,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,CAD,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,USD,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,NZD,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,5:30pm,AUD,AIG Manufacturing Index,Non-economic,44.3,,44.3,2013-01-01 17:30:00
2013-01-01,All Day,JPY,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-01,All Day,CNY,Bank Holiday,Low,,,,2013-01-01 00:00:00
2013-01-02,12:30am,AUD,Commodity Prices y/y,Non-economic,-8.0%,,-10.3%,2013-01-02 00:30:00
2013-01-02,All Day,CHF,Bank Holiday,Low,,,,2013-01-02 00:00:00
2013-01-02,All Day,EUR,German Prelim CPI m/m,Medium,0.9%,0.7%,-0.1%,2013-01-02 00:00:00
2013-01-02,3:00am,EUR,Spanish Flash CPI y/y,Non-economic,2.9%,2.9%,2.9%,2013-01-02 03:00:00
2013-01-02,3:15am,EUR,Spanish Manufacturing PMI,Medium,44.6,44.9,45.3,2013-01-02 03:15:00
2013-01-02,3:45am,EUR,Italian Manufacturing PMI,Medium,46.7,45.4,45.1,2013-01-02 03:45:00
2013-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,44.6,44.6,44.6,2013-01-02 03:50:00
2013-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,46.0,46.3,46.3,2013-01-02 03:55:00
2013-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,46.1,46.3,46.3,2013-01-02 04:00:00
2013-01-02,4:30am,GBP,Final Manufacturing PMI,High,51.4,49.2,49.2,2013-01-02 04:30:00
2013-01-02,8:30am,NZD,GDT Price Index,Non-economic,1.6%,,0.3%,2013-01-02 08:30:00
2013-01-02,9:00am,USD,Final Manufacturing PMI,Non-economic,54.0,53.2,54.2,2013-01-02 09:00:00
2013-01-02,9:30am,CAD,Manufacturing PMI,Non-economic,50.4,,50.4,2013-01-02 09:30:00
2013-01-02,10:00am,USD,ISM Manufacturing PMI,High,50.7,50.2,49.5,2013-01-02 10:00:00
2013-01-02,10:00am,USD,Construction Spending m/m,Non-economic,-0.3%,0.6%,0.7%,2013-01-02 10:00:00
2013-01-02,10:00am,USD,ISM Manufacturing Prices,Non-economic,55.5,51.4,52.5,2013-01-02 10:00:00
2013-01-02,All Day,JPY,Bank Holiday,Low,,,,2013-01-02 00:00:00
2013-01-02,All Day,CNY,Bank Holiday,Low,,,,2013-01-02 00:00:00
2013-01-02,8:00pm,CNY,Non-Manufacturing PMI,Non-economic,56.1,,55.6,2013-01-02 20:00:00
2013-01-03,2:00am,GBP,Nationwide HPI m/m,Medium,-0.1%,0.1%,0.0%,2013-01-03 02:00:00
2013-01-03,3:00am,CHF,KOF Economic Barometer,Medium,1.28,1.39,1.50,2013-01-03 03:00:00
2013-01-03,3:00am,EUR,Spanish Unemployment Change,Medium,-59.1K,50.3K,74.3K,2013-01-03 03:00:00
2013-01-03,3:30am,CHF,Manufacturing PMI,Medium,49.5,48.7,48.5,2013-01-03 03:30:00
